"",BBK01.OELJ08L,BBK01.OELJ08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:05,
2002-01,0.158,
2002-04,0.168,
2002-07,0.172,
2002-10,0.175,
2003-01,0.183,
2003-04,0.185,
2003-07,0.189,
2003-10,0.189,
2004-01,0.186,
2004-04,0.199,
2004-07,0.175,
2004-10,0.181,
2005-01,0.190,
2005-04,0.195,
2005-07,0.210,
2005-10,0.204,
2006-01,0.213,
2006-04,0.214,
2006-07,0.210,
2006-10,0.204,
2007-01,0.192,
2007-04,0.188,
2007-07,0.194,
2007-10,0.171,
2008-01,0.174,
2008-04,0.171,
2008-07,0.178,
2008-10,0.169,
2009-01,0.167,
2009-04,0.180,
2009-07,0.186,
2009-10,0.202,
2010-01,0.281,
2010-04,0.243,
2010-07,0.221,
2010-10,0.219,
2011-01,0.232,
2011-04,0.228,
2011-07,0.227,
2011-10,0.236,
2012-01,0.236,
2012-04,0.251,
2012-07,0.250,
2012-10,0.230,
2013-01,0.247,
2013-04,0.256,
2013-07,0.262,
2013-10,0.257,
2014-01,0.262,
2014-04,0.263,
2014-07,0.264,
