"",BBNZ1.Q.DE.N.H.0111.L,BBNZ1.Q.DE.N.H.0111.L_FLAGS
"","Germany / National accounts / Use of gross domestic product / Imports of goods and services (price adjusted) 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:47,
1970-01,13.82,
1970-04,14.66,
1970-07,15.36,
1970-10,15.44,
1971-01,15.32,
1971-04,15.52,
1971-07,16.49,
1971-10,16.33,
1972-01,16.21,
1972-04,16.84,
1972-07,17.19,
1972-10,17.53,
1973-01,16.89,
1973-04,17.17,
1973-07,17.87,
1973-10,18.33,
1974-01,16.80,
1974-04,17.50,
1974-07,18.92,
1974-10,17.34,
1975-01,16.70,
1975-04,18.23,
1975-07,18.80,
1975-10,18.90,
1976-01,18.92,
1976-04,19.88,
1976-07,20.92,
1976-10,20.81,
1977-01,20.01,
1977-04,20.29,
1977-07,21.96,
1977-10,21.22,
1978-01,20.56,
1978-04,21.85,
1978-07,22.72,
1978-10,22.89,
1979-01,22.69,
1979-04,24.09,
1979-07,25.01,
1979-10,24.71,
1980-01,25.29,
1980-04,24.77,
1980-07,24.92,
1980-10,24.49,
1981-01,24.19,
1981-04,23.81,
1981-07,24.75,
1981-10,23.78,
1982-01,24.19,
1982-04,24.18,
1982-07,24.16,
1982-10,23.25,
1983-01,23.29,
1983-04,24.53,
1983-07,25.26,
1983-10,25.28,
1984-01,25.51,
1984-04,25.51,
1984-07,26.64,
1984-10,25.90,
1985-01,26.98,
1985-04,26.31,
1985-07,27.73,
1985-10,26.71,
1986-01,26.41,
1986-04,28.29,
1986-07,28.29,
1986-10,28.22,
1987-01,27.97,
1987-04,28.58,
1987-07,29.64,
1987-10,30.11,
1988-01,28.87,
1988-04,30.07,
1988-07,31.24,
1988-10,32.48,
1989-01,31.64,
1989-04,33.45,
1989-07,33.13,
1989-10,34.99,
1990-01,34.99,
1990-04,35.09,
1990-07,37.62,
1990-10,39.87,
1991-01,39.75,
1991-04,41.08,
1991-07,41.54,
1991-10,41.28,
1992-01,42.27,
1992-04,41.50,
1992-07,42.07,
1992-10,42.97,
1993-01,37.85,
1993-04,39.12,
1993-07,40.31,
1993-10,40.48,
1994-01,39.80,
1994-04,42.35,
1994-07,43.96,
1994-10,44.59,
1995-01,43.88,
1995-04,45.44,
1995-07,46.46,
1995-10,47.01,
1996-01,45.85,
1996-04,46.63,
1996-07,48.14,
1996-10,49.50,
1997-01,48.37,
1997-04,51.44,
1997-07,53.42,
1997-10,54.18,
1998-01,53.75,
1998-04,56.39,
1998-07,57.87,
1998-10,58.82,
1999-01,57.52,
1999-04,61.07,
1999-07,63.42,
1999-10,64.89,
2000-01,63.60,
2000-04,66.44,
2000-07,69.40,
2000-10,74.30,
2001-01,68.32,
2001-04,69.49,
2001-07,68.97,
2001-10,69.30,
2002-01,62.93,
2002-04,67.08,
2002-07,68.48,
2002-10,70.57,
2003-01,68.26,
2003-04,69.50,
2003-07,71.79,
2003-10,74.92,
2004-01,72.22,
2004-04,75.41,
2004-07,78.55,
2004-10,80.87,
2005-01,73.49,
2005-04,80.23,
2005-07,83.04,
2005-10,88.05,
2006-01,86.13,
2006-04,87.80,
2006-07,91.26,
2006-10,95.75,
2007-01,93.12,
2007-04,93.81,
2007-07,97.98,
2007-10,98.57,
2008-01,96.02,
2008-04,97.63,
2008-07,100.99,
2008-10,97.43,
2009-01,88.24,
2009-04,84.46,
2009-07,90.91,
2009-10,90.83,
2010-01,92.33,
2010-04,99.80,
2010-07,103.06,
2010-10,104.80,
2011-01,103.73,
2011-04,106.38,
2011-07,109.92,
2011-10,108.55,
2012-01,106.70,
2012-04,105.65,
2012-07,109.07,
2012-10,107.10,
2013-01,105.95,
2013-04,108.95,
2013-07,114.74,
2013-10,112.30,
2014-01,109.81,
2014-04,112.17,
2014-07,118.28,
2014-10,116.50,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). - 3 Methodology: Figures are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
