"",BBK01.OEHI09H,BBK01.OEHI09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:14,
2002-01,11.666,
2002-04,11.533,
2002-07,11.308,
2002-10,11.324,
2003-01,10.621,
2003-04,10.003,
2003-07,9.540,
2003-10,9.883,
2004-01,9.572,
2004-04,9.346,
2004-07,9.509,
2004-10,9.810,
2005-01,9.698,
2005-04,9.449,
2005-07,9.043,
2005-10,9.348,
2006-01,9.381,
2006-04,9.630,
2006-07,9.905,
2006-10,10.844,
2007-01,10.976,
2007-04,11.033,
2007-07,11.065,
2007-10,11.354,
2008-01,10.673,
2008-04,10.099,
2008-07,9.429,
2008-10,8.971,
2009-01,9.470,
2009-04,10.016,
2009-07,10.488,
2009-10,11.032,
2010-01,10.733,
2010-04,9.603,
2010-07,8.900,
2010-10,8.672,
2011-01,8.571,
2011-04,8.466,
2011-07,8.088,
2011-10,7.611,
2012-01,6.958,
2012-04,6.391,
2012-07,5.927,
2012-10,5.729,
2013-01,5.511,
2013-04,5.091,
2013-07,5.083,
2013-10,5.181,
2014-01,5.385,
2014-04,5.567,
2014-07,5.547,
