"",BBFN1.M.DE.N.1.A.NG.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NG.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Nigeria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:33,
1994-07,0.215,
1994-08,0.230,
1994-09,0.227,
1994-10,0.229,
1994-11,0.253,
1994-12,0.265,
1995-01,0.276,
1995-02,0.269,
1995-03,0.270,
1995-04,0.283,
1995-05,0.283,
1995-06,0.285,
1995-07,0.258,
1995-08,0.233,
1995-09,0.229,
1995-10,0.215,
1995-11,0.215,
1995-12,0.231,
1996-01,0.210,
1996-02,0.204,
1996-03,0.209,
1996-04,0.217,
1996-05,0.222,
1996-06,0.211,
1996-07,0.211,
1996-08,0.220,
1996-09,0.220,
1996-10,0.211,
1996-11,0.207,
1996-12,0.227,
1997-01,0.206,
1997-02,0.210,
1997-03,0.212,
1997-04,0.208,
1997-05,0.220,
1997-06,0.227,
1997-07,0.241,
1997-08,0.250,
1997-09,0.270,
1997-10,0.265,
1997-11,0.279,
1997-12,0.274,
1998-01,0.300,
1998-02,0.324,
1998-03,0.316,
1998-04,0.327,
1998-05,0.322,
1998-06,0.259,
1998-07,0.244,
1998-08,0.226,
1998-09,0.207,
1998-10,0.198,
1998-11,0.200,
1998-12,0.195,
1999-01,0.197,
1999-02,0.207,
1999-03,0.220,
1999-04,0.209,
1999-05,0.239,
1999-06,0.217,
1999-07,0.231,
1999-08,0.234,
1999-09,0.221,
1999-10,0.236,
1999-11,0.263,
1999-12,0.259,
2000-01,0.271,
2000-02,0.261,
2000-03,0.264,
2000-04,0.267,
2000-05,0.263,
2000-06,0.270,
2000-07,0.305,
2000-08,0.311,
2000-09,0.324,
2000-10,0.320,
2000-11,0.347,
2000-12,0.351,
2001-01,0.352,
2001-02,0.343,
2001-03,0.362,
2001-04,0.356,
2001-05,0.373,
2001-06,0.352,
2001-07,0.345,
2001-08,0.352,
2001-09,0.365,
2001-10,0.364,
2001-11,0.361,
2001-12,0.374,
2002-01,0.349,
2002-02,0.362,
2002-03,0.362,
2002-04,0.382,
2002-05,0.384,
2002-06,0.388,
2002-07,0.381,
2002-08,0.344,
2002-09,0.346,
2002-10,0.330,
2002-11,0.344,
2002-12,0.376,
2003-01,0.365,
2003-02,0.353,
2003-03,0.341,
2003-04,0.314,
2003-05,0.309,
2003-06,0.297,
2003-07,0.293,
2003-08,0.313,
2003-09,0.319,
2003-10,0.321,
2003-11,0.272,
2003-12,0.272,
2004-01,0.269,
2004-02,0.269,
2004-03,0.252,
2004-04,0.247,
2004-05,0.252,
2004-06,0.238,
2004-07,0.254,
2004-08,0.247,
2004-09,0.236,
2004-10,0.231,
2004-11,0.243,
2004-12,0.155,
2005-01,0.171,
2005-02,0.164,
2005-03,0.171,
2005-04,0.162,
2005-05,0.168,
2005-06,0.175,
2005-07,0.181,
2005-08,0.167,
2005-09,0.163,
2005-10,0.181,
2005-11,0.185,
2005-12,0.163,
2006-01,0.161,
2006-02,0.137,
2006-03,0.144,
2006-04,0.146,
2006-05,0.147,
2006-06,0.161,
2006-07,0.167,
2006-08,0.171,
2006-09,0.153,
2006-10,0.163,
2006-11,0.139,
2006-12,0.152,
2007-01,0.147,
2007-02,0.146,
2007-03,0.160,
2007-04,0.136,
2007-05,0.167,
2007-06,0.164,
2007-07,0.171,
2007-08,0.176,
2007-09,0.173,
2007-10,0.185,
2007-11,0.194,
2007-12,0.208,
2008-01,0.177,
2008-02,0.178,
2008-03,0.164,
2008-04,0.178,
2008-05,0.199,
2008-06,0.177,
2008-07,0.186,
2008-08,0.164,
2008-09,0.201,
2008-10,0.182,
2008-11,0.204,
2008-12,0.171,
2009-01,0.157,
2009-02,0.173,
2009-03,0.149,
2009-04,0.155,
2009-05,0.154,
2009-06,0.153,
2009-07,0.147,
2009-08,0.145,
2009-09,0.147,
2009-10,0.161,
2009-11,0.145,
2009-12,0.130,
2010-01,0.119,
2010-02,0.126,
2010-03,0.139,
2010-04,0.143,
2010-05,0.143,
2010-06,0.157,
2010-07,0.138,
2010-08,0.145,
2010-09,0.162,
2010-10,0.151,
2010-11,0.158,
2010-12,0.126,
2011-01,0.131,
2011-02,0.132,
2011-03,0.144,
2011-04,0.140,
2011-05,0.123,
2011-06,0.128,
2011-07,0.133,
2011-08,0.137,
2011-09,0.147,
2011-10,0.159,
2011-11,0.172,
2011-12,0.166,
2012-01,0.151,
2012-02,0.131,
2012-03,0.150,
2012-04,0.160,
2012-05,0.176,
2012-06,0.180,
2012-07,0.167,
2012-08,0.161,
2012-09,0.165,
2012-10,0.167,
2012-11,0.226,
2012-12,0.226,
2013-01,0.213,
2013-02,0.192,
2013-03,0.213,
2013-04,0.210,
2013-05,0.269,
2013-06,0.269,
2013-07,0.247,
2013-08,0.253,
2013-09,0.261,
2013-10,0.252,
2013-11,0.250,
2013-12,0.288,
2014-01,0.285,
2014-02,0.276,
2014-03,0.276,
2014-04,0.289,
2014-05,0.305,
2014-06,0.335,
2014-07,0.330,
2014-08,0.337,
2014-09,0.343,
2014-10,0.377,
2014-11,0.364,
2014-12,0.353,
