"",BBSF2.M.1.P.00000.GEF01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEF01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed funds / Shares / World not allocated (geographically) / All issuer sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:57,
2009-09,2414,
2009-10,2345,
2009-11,2384,
2009-12,2481,
2010-01,2603,
2010-02,2654,
2010-03,3114,
2010-04,3557,
2010-05,3200,
2010-06,2936,
2010-07,3022,
2010-08,2948,
2010-09,3092,
2010-10,3266,
2010-11,3218,
2010-12,3273,
2011-01,3413,
2011-02,3427,
2011-03,3256,
2011-04,3417,
2011-05,3308,
2011-06,3165,
2011-07,3033,
2011-08,2693,
2011-09,2568,
2011-10,2854,
2011-11,2747,
2011-12,2759,
2012-01,2883,
2012-02,2984,
2012-03,2870,
2012-04,2954,
2012-05,2694,
2012-06,2718,
2012-07,2911,
2012-08,2874,
2012-09,2965,
2012-10,3055,
2012-11,3127,
2012-12,3222,
2013-01,3341,
2013-02,3323,
2013-03,3583,
2013-04,3619,
2013-05,3656,
2013-06,3207,
2013-07,3464,
2013-08,3510,
2013-09,3718,
2013-10,3986,
2013-11,4097,
2013-12,4111,
2014-01,4052,
2014-02,4258,
2014-03,4291,
2014-04,4364,
2014-05,4448,
2014-06,4591,
2014-07,4502,
2014-08,3773,
2014-09,3689,
2014-10,3633,
2014-11,3740,
