"",BBK01.OEBB12P,BBK01.OEBB12P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:05,
2002-01,0.428,
2002-04,0.423,
2002-07,0.414,
2002-10,0.431,
2003-01,0.444,
2003-04,0.430,
2003-07,0.432,
2003-10,0.441,
2004-01,0.432,
2004-04,0.418,
2004-07,0.409,
2004-10,0.395,
2005-01,0.409,
2005-04,0.400,
2005-07,0.390,
2005-10,0.380,
2006-01,0.361,
2006-04,0.366,
2006-07,0.360,
2006-10,0.355,
2007-01,0.357,
2007-04,0.339,
2007-07,0.340,
2007-10,0.330,
2008-01,0.332,
2008-04,0.330,
2008-07,0.334,
2008-10,0.330,
2009-01,0.339,
2009-04,0.324,
2009-07,0.315,
2009-10,0.327,
2010-01,0.303,
2010-04,0.292,
2010-07,0.288,
2010-10,0.282,
2011-01,0.285,
2011-04,0.295,
2011-07,0.303,
2011-10,0.299,
2012-01,0.308,
2012-04,0.265,
2012-07,0.259,
2012-10,0.256,
2013-01,0.253,
2013-04,0.241,
2013-07,0.233,
2013-10,0.254,
2014-01,0.263,
2014-04,0.252,
2014-07,0.245,
