"",BBK01.OECB13P,BBK01.OECB13P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:15,
2002-01,0.178,
2002-04,0.185,
2002-07,0.194,
2002-10,0.196,
2003-01,0.198,
2003-04,0.195,
2003-07,0.193,
2003-10,0.188,
2004-01,0.184,
2004-04,0.167,
2004-07,0.166,
2004-10,0.154,
2005-01,0.152,
2005-04,0.149,
2005-07,0.147,
2005-10,0.146,
2006-01,0.151,
2006-04,0.152,
2006-07,0.153,
2006-10,0.148,
2007-01,0.145,
2007-04,0.143,
2007-07,0.139,
2007-10,0.140,
2008-01,0.136,
2008-04,0.138,
2008-07,0.130,
2008-10,0.130,
2009-01,0.129,
2009-04,0.188,
2009-07,0.180,
2009-10,0.178,
2010-01,0.177,
2010-04,0.175,
2010-07,0.168,
2010-10,0.171,
2011-01,0.138,
2011-04,0.134,
2011-07,0.132,
2011-10,0.130,
2012-01,0.120,
2012-04,0.110,
2012-07,0.107,
2012-10,0.099,
2013-01,0.094,
2013-04,0.090,
2013-07,0.090,
2013-10,0.123,
2014-01,0.118,
2014-04,0.115,
2014-07,0.133,
