"",BBFN1.M.DE.N.1.L.JE.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.JE.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Jersey,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:06,
2002-12,0.000,
2003-01,0.005,
2003-02,0.006,
2003-03,0.005,
2003-04,0.005,
2003-05,0.003,
2003-06,0.003,
2003-07,0.003,
2003-08,0.000,
2003-09,-,Nothing exists
2003-10,0.000,
2003-11,0.001,
2003-12,0.001,
2004-01,0.001,
2004-02,0.001,
2004-03,0.001,
2004-04,0.017,
2004-05,0.018,
2004-06,.,No value available
2004-07,0.000,
2004-08,0.000,
2004-09,0.000,
2004-10,0.022,
2004-11,0.025,
2004-12,0.033,
2005-01,0.034,
2005-02,0.035,
2005-03,0.035,
2005-04,0.035,
2005-05,0.037,
2005-06,0.037,
2005-07,0.046,
2005-08,0.049,
2005-09,0.049,
2005-10,0.054,
2005-11,0.061,
2005-12,0.062,
2006-01,0.074,
2006-02,0.077,
2006-03,0.079,
2006-04,0.080,
2006-05,0.087,
2006-06,0.088,
2006-07,0.108,
2006-08,0.116,
2006-09,0.127,
2006-10,0.132,
2006-11,0.150,
2006-12,0.145,
2007-01,0.145,
2007-02,0.150,
2007-03,0.159,
2007-04,0.163,
2007-05,0.170,
2007-06,0.153,
2007-07,.,No value available
2007-08,0.000,
2007-09,0.143,
2007-10,0.150,
2007-11,0.156,
2007-12,0.152,
2008-01,0.142,
2008-02,0.146,
2008-03,0.140,
2008-04,0.117,
2008-05,0.092,
2008-06,0.080,
2008-07,0.072,
2008-08,0.065,
2008-09,0.057,
2008-10,0.058,
2008-11,0.057,
2008-12,0.065,
2009-01,0.003,
2009-02,0.003,
2009-03,0.004,
2009-04,0.003,
2009-05,0.003,
2009-06,0.003,
2009-07,0.003,
2009-08,0.003,
2009-09,0.002,
2009-10,0.004,
2009-11,0.004,
2009-12,0.003,
2010-01,0.003,
2010-02,0.003,
2010-03,0.004,
2010-04,0.003,
2010-05,0.003,
2010-06,0.003,
2010-07,0.003,
2010-08,0.003,
2010-09,0.002,
2010-10,0.002,
2010-11,0.003,
2010-12,0.003,
2011-01,0.004,
2011-02,0.003,
2011-03,0.003,
2011-04,0.003,
2011-05,0.003,
2011-06,0.003,
2011-07,0.003,
2011-08,0.002,
2011-09,0.002,
2011-10,0.002,
2011-11,0.003,
2011-12,0.003,
2012-01,0.003,
2012-02,0.003,
2012-03,0.000,
2012-04,0.001,
2012-05,0.001,
2012-06,0.001,
2012-07,0.001,
2012-08,0.007,
2012-09,0.002,
2012-10,0.001,
2012-11,0.000,
2012-12,0.000,
2013-01,0.002,
2013-02,0.002,
2013-03,0.001,
2013-04,0.001,
2013-05,0.001,
2013-06,0.001,
2013-07,0.001,
2013-08,0.001,
2013-09,0.001,
2013-10,0.001,
2013-11,0.001,
2013-12,0.001,
2014-01,0.001,
2014-02,0.001,
2014-03,0.001,
2014-04,0.001,
2014-05,0.001,
2014-06,0.001,
2014-07,0.001,
2014-08,0.002,
2014-09,0.001,
2014-10,0.002,
2014-11,0.001,
2014-12,0.001,
