"",BBK01.OEAD28I,BBK01.OEAD28I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:10,
2002-01,0.037,
2002-04,0.038,
2002-07,0.035,
2002-10,0.030,
2003-01,0.038,
2003-04,0.033,
2003-07,0.035,
2003-10,0.037,
2004-01,0.036,
2004-04,0.040,
2004-07,0.040,
2004-10,0.048,
2005-01,0.047,
2005-04,0.063,
2005-07,0.061,
2005-10,0.080,
2006-01,0.052,
2006-04,0.040,
2006-07,0.041,
2006-10,0.044,
2007-01,0.091,
2007-04,0.080,
2007-07,0.114,
2007-10,0.120,
2008-01,0.088,
2008-04,0.092,
2008-07,0.093,
2008-10,0.078,
2009-01,0.054,
2009-04,0.068,
2009-07,0.064,
2009-10,0.066,
2010-01,0.037,
2010-04,0.034,
2010-07,0.025,
2010-10,0.021,
2011-01,0.032,
2011-04,0.028,
2011-07,0.026,
2011-10,0.051,
2012-01,0.053,
2012-04,0.056,
2012-07,0.055,
2012-10,0.027,
2013-01,0.039,
2013-04,0.050,
2013-07,0.042,
2013-10,0.041,
2014-01,0.041,
2014-04,0.042,
2014-07,0.051,
