"",BBK01.QUK846,BBK01.QUK846_FLAGS
"",Consolidated German banks: Loans and advances to foreign enterprises and households / Bulgaria / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:31:42,
2002-03,0.070,
2002-04,0.062,
2002-05,0.056,
2002-06,0.054,
2002-07,0.060,
2002-08,0.158,
2002-09,0.155,
2002-10,0.280,
2002-11,0.291,
2002-12,0.301,
2003-01,0.306,
2003-02,0.318,
2003-03,0.328,
2003-04,0.378,
2003-05,0.380,
2003-06,0.402,
2003-07,0.419,
2003-08,0.434,
2003-09,0.445,
2003-10,0.450,
2003-11,0.456,
2003-12,0.467,
2004-01,0.474,
2004-02,0.483,
2004-03,0.498,
2004-04,0.514,
2004-05,0.530,
2004-06,0.550,
2004-07,0.582,
2004-08,0.603,
2004-09,0.622,
2004-10,0.663,
2004-11,0.685,
2004-12,0.738,
2005-01,0.757,
2005-02,0.772,
2005-03,1.104,
2005-04,1.010,
2005-05,1.053,
2005-06,1.071,
2005-07,1.076,
2005-08,1.105,
2005-09,1.148,
2005-10,1.187,
2005-11,1.244,
2005-12,0.162,
2006-01,0.159,
2006-02,0.159,
2006-03,0.172,
2006-04,0.168,
2006-05,0.166,
2006-06,0.165,
2006-07,0.166,
2006-08,0.167,
2006-09,0.168,
2006-10,0.173,
2006-11,0.180,
2006-12,0.208,
2007-01,0.292,
2007-02,0.297,
2007-03,0.313,
2007-04,0.319,
2007-05,0.240,
2007-06,0.262,
2007-07,0.277,
2007-08,0.274,
2007-09,0.302,
2007-10,0.304,
2007-11,0.399,
2007-12,0.609,
2008-01,0.579,
2008-02,0.618,
2008-03,0.666,
2008-04,0.691,
2008-05,0.733,
2008-06,0.791,
2008-07,0.855,
2008-08,0.895,
2008-09,0.927,
2008-10,0.977,
2008-11,0.974,
2008-12,0.980,
2009-01,0.949,
2009-02,0.946,
2009-03,0.943,
2009-04,0.933,
2009-05,0.970,
2009-06,0.971,
2009-07,0.977,
2009-08,0.979,
2009-09,0.975,
2009-10,0.973,
2009-11,0.978,
2009-12,0.522,
2010-01,0.525,
2010-02,0.527,
2010-03,0.528,
2010-04,0.577,
2010-05,0.590,
2010-06,0.591,
2010-07,0.489,
2010-08,0.586,
2010-09,0.571,
2010-10,0.590,
2010-11,0.590,
2010-12,0.586,
2011-01,0.558,
2011-02,0.553,
2011-03,0.540,
2011-04,0.549,
2011-05,0.533,
2011-06,0.556,
2011-07,0.553,
2011-08,0.530,
2011-09,0.520,
2011-10,0.426,
2011-11,0.453,
2011-12,0.449,
2012-01,0.426,
2012-02,0.438,
2012-03,0.429,
2012-04,0.421,
2012-05,0.391,
2012-06,0.383,
2012-07,0.381,
2012-08,0.380,
2012-09,0.359,
2012-10,0.322,
2012-11,0.303,
2012-12,0.294,
2013-01,0.292,
2013-02,0.303,
2013-03,0.300,
2013-04,0.298,
2013-05,0.291,
2013-06,0.290,
2013-07,0.287,
2013-08,0.283,
2013-09,0.281,
2013-10,0.278,
2013-11,0.267,
2013-12,0.277,
2014-01,0.276,
2014-02,0.272,
2014-03,0.273,
2014-04,0.271,
2014-05,0.279,
2014-06,0.269,
2014-07,0.262,
2014-08,0.258,
2014-09,0.205,
2014-10,0.200,
