"",BBK01.CEWK0C,BBK01.CEWK0C_FLAGS
"",Net acquisition of financial assets General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:06,
1991-01,-22.4,
1991-04,-0.3,
1991-07,-9.6,
1991-10,-11.5,
1992-01,-10.3,
1992-04,1.2,
1992-07,-14.1,
1992-10,-17.2,
1993-01,-13.9,
1993-04,-4.3,
1993-07,-18.7,
1993-10,-13.6,
1994-01,-10.7,
1994-04,-0.6,
1994-07,-19.2,
1994-10,-13.7,
1995-01,-120.6,
1995-04,-5.5,
1995-07,-34.7,
1995-10,-14.6,
1996-01,-16.5,
1996-04,-10.4,
1996-07,-20.6,
1996-10,-15.3,
1997-01,-19.3,
1997-04,-8.3,
1997-07,-18.8,
1997-10,-6.3,
1998-01,-21.3,
1998-04,-0.6,
1998-07,-19.2,
1998-10,-4.7,
1999-01,-18.8,
1999-04,2.7,
1999-07,-14.8,
1999-10,-1.3,
2000-01,-17.1,
2000-04,8.7,
2000-07,38.6,
2000-10,-7.0,
2001-01,-21.3,
2001-04,-0.3,
2001-07,-21.6,
2001-10,-21.6,
2002-01,-30.5,
2002-04,-10.2,
2002-07,-23.1,
2002-10,-18.2,
2003-01,-30.1,
2003-04,-12.4,
2003-07,-29.0,
2003-10,-17.7,
2004-01,-31.9,
2004-04,-13.7,
2004-07,-24.4,
2004-10,-12.6,
2005-01,-26.5,
2005-04,-14.3,
2005-07,-21.4,
2005-10,-11.9,
2006-01,-20.5,
2006-04,-2.1,
2006-07,-12.6,
2006-10,-3.0,
2007-01,-6.8,
2007-04,12.2,
2007-07,-3.8,
2007-10,4.1,
2008-01,-4.9,
2008-04,10.9,
2008-07,-3.6,
2008-10,-4.2,
2009-01,-10.3,
2009-04,-7.1,
2009-07,-29.7,
2009-10,-26.6,
2010-01,-30.4,
2010-04,-6.5,
2010-07,-55.2,
2010-10,-12.2,
2011-01,-10.3,
2011-04,6.5,
2011-07,-11.1,
2011-10,-6.7,
2012-01,-3.1,
2012-04,11.2,
2012-07,-4.1,
2012-10,-1.7,
2013-01,-4.8,
2013-04,13.0,
2013-07,-4.0,
2013-10,1.1,
2014-01,1.2,
