"",BBK01.OEAL05L,BBK01.OEAL05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:22,
2002-01,8.601,
2002-04,10.018,
2002-07,10.455,
2002-10,10.897,
2003-01,11.214,
2003-04,11.253,
2003-07,11.456,
2003-10,11.742,
2004-01,11.800,
2004-04,11.814,
2004-07,12.023,
2004-10,12.615,
2005-01,13.001,
2005-04,13.078,
2005-07,12.874,
2005-10,12.771,
2006-01,12.952,
2006-04,12.957,
2006-07,13.033,
2006-10,13.270,
2007-01,13.410,
2007-04,13.207,
2007-07,13.174,
2007-10,13.375,
2008-01,13.569,
2008-04,13.451,
2008-07,13.428,
2008-10,13.528,
2009-01,13.965,
2009-04,14.348,
2009-07,14.723,
2009-10,15.172,
2010-01,15.535,
2010-04,15.767,
2010-07,15.964,
2010-10,16.298,
2011-01,13.150,
2011-04,13.303,
2011-07,13.555,
2011-10,13.957,
2012-01,14.542,
2012-04,14.956,
2012-07,15.482,
2012-10,16.234,
2013-01,16.441,
2013-04,16.743,
2013-07,17.052,
2013-10,17.643,
2014-01,18.281,
2014-04,18.529,
2014-07,18.937,
