"",BBFB1.Q.N.DE.GB.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:09,
1991-01,2987.489,
1991-04,1945.045,
1991-07,7196.873,
1991-10,8551.112,
1992-01,-5345.309,
1992-04,517.120,
1992-07,24032.476,
1992-10,11740.744,
1993-01,17650.018,
1993-04,20779.334,
1993-07,13709.760,
1993-10,27573.020,
1994-01,861.959,
1994-04,-2305.420,
1994-07,2946.295,
1994-10,8781.099,
1995-01,12538.026,
1995-04,23380.719,
1995-07,12252.443,
1995-10,6475.825,
1996-01,9976.515,
1996-04,21439.217,
1996-07,4561.171,
1996-10,18230.042,
1997-01,34318.980,
1997-04,13684.511,
1997-07,24601.933,
1997-10,32312.988,
1998-01,46180.415,
1998-04,29496.639,
1998-07,36427.390,
1998-10,8433.444,
1999-01,40430.872,
1999-04,30823.063,
1999-07,35874.655,
1999-10,43756.375,
2000-01,203074.890,
2000-04,85027.461,
2000-07,60912.689,
2000-10,-75759.833,
2001-01,115050.228,
2001-04,39628.457,
2001-07,57806.625,
2001-10,9182.809,
2002-01,62733.648,
2002-04,66694.311,
2002-07,114904.107,
2002-10,79770.100,
2003-01,102751.787,
2003-04,67345.004,
2003-07,57974.905,
2003-10,63495.639,
2004-01,141004.845,
2004-04,14816.056,
2004-07,110654.671,
2004-10,68108.122,
2005-01,139448.156,
2005-04,90849.639,
2005-07,102730.676,
2005-10,44088.488,
2006-01,161027.492,
2006-04,51910.772,
2006-07,51814.543,
2006-10,42811.100,
2007-01,147072.954,
2007-04,94812.916,
2007-07,121105.028,
2007-10,63099.876,
2008-01,152672.273,
2008-04,73180.342,
2008-07,149460.235,
2008-10,39656.377,
2009-01,55965.551,
2009-04,114547.490,
2009-07,62772.276,
2009-10,74436.078,
2010-01,138848.328,
2010-04,151736.656,
2010-07,126564.890,
2010-10,120893.820,
2011-01,106123.174,
2011-04,130026.131,
2011-07,236563.347,
2011-10,64683.386,
2012-01,328531.883,
2012-04,98655.261,
2012-07,83988.942,
2012-10,27021.683,
2013-01,81111.303,
2013-04,103780.895,
2013-07,80698.933,
2013-10,84260.286,
2014-01,151614.103,Provisional value
2014-04,114826.477,Provisional value
2014-07,122771.703,Provisional value
2014-10,88837.610,Provisional value
