"",BBK01.OELL07Q,BBK01.OELL07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:22,
2002-01,3.802,
2002-04,3.779,
2002-07,3.780,
2002-10,3.840,
2003-01,3.830,
2003-04,3.869,
2003-07,3.883,
2003-10,3.928,
2004-01,3.905,
2004-04,3.879,
2004-07,3.853,
2004-10,3.834,
2005-01,3.833,
2005-04,3.792,
2005-07,3.663,
2005-10,3.671,
2006-01,3.647,
2006-04,3.621,
2006-07,3.552,
2006-10,3.491,
2007-01,3.348,
2007-04,3.254,
2007-07,3.165,
2007-10,3.088,
2008-01,2.993,
2008-04,2.879,
2008-07,2.769,
2008-10,2.833,
2009-01,2.995,
2009-04,3.140,
2009-07,3.309,
2009-10,3.544,
2010-01,3.737,
2010-04,3.854,
2010-07,3.915,
2010-10,3.974,
2011-01,3.974,
2011-04,3.936,
2011-07,3.893,
2011-10,3.930,
2012-01,3.943,
2012-04,3.943,
2012-07,3.976,
2012-10,4.062,
2013-01,4.107,
2013-04,4.142,
2013-07,4.136,
2013-10,4.169,
2014-01,4.167,
2014-04,4.205,
2014-07,4.209,
