"",BBDE1.M.DE.Y.AEB5.N2C280000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.N2C280000.F.C.I10.A_FLAGS
"",Orders received from abroad / At constant prices / Germany / 28 Manufacture of machinery and equipment n.e.c. / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:20,
1991-01,55.6,
1991-02,52.3,
1991-03,54.2,
1991-04,56.6,
1991-05,50.3,
1991-06,56.9,
1991-07,54.1,
1991-08,62.6,
1991-09,52.2,
1991-10,57.1,
1991-11,55.5,
1991-12,59.0,
1992-01,55.6,
1992-02,52.4,
1992-03,54.3,
1992-04,52.3,
1992-05,52.2,
1992-06,51.3,
1992-07,49.6,
1992-08,51.2,
1992-09,53.1,
1992-10,45.7,
1992-11,49.4,
1992-12,48.9,
1993-01,47.7,
1993-02,50.2,
1993-03,48.9,
1993-04,50.4,
1993-05,46.6,
1993-06,47.5,
1993-07,47.5,
1993-08,47.6,
1993-09,53.6,
1993-10,52.5,
1993-11,57.4,
1993-12,55.8,
1994-01,50.0,
1994-02,52.6,
1994-03,52.7,
1994-04,57.4,
1994-05,56.3,
1994-06,61.1,
1994-07,55.0,
1994-08,52.4,
1994-09,58.6,
1994-10,68.0,
1994-11,60.5,
1994-12,61.1,
1995-01,55.3,
1995-02,59.4,
1995-03,56.5,
1995-04,53.8,
1995-05,58.6,
1995-06,55.9,
1995-07,58.5,
1995-08,58.1,
1995-09,58.6,
1995-10,54.0,
1995-11,53.2,
1995-12,56.8,
1996-01,51.2,
1996-02,55.2,
1996-03,56.2,
1996-04,54.4,
1996-05,57.1,
1996-06,54.2,
1996-07,57.4,
1996-08,55.0,
1996-09,55.4,
1996-10,58.6,
1996-11,57.6,
1996-12,55.0,
1997-01,57.7,
1997-02,57.2,
1997-03,59.0,
1997-04,63.1,
1997-05,61.3,
1997-06,62.7,
1997-07,66.6,
1997-08,64.8,
1997-09,73.4,
1997-10,64.7,
1997-11,67.2,
1997-12,62.3,
1998-01,65.7,
1998-02,65.1,
1998-03,64.1,
1998-04,63.7,
1998-05,63.1,
1998-06,65.0,
1998-07,61.9,
1998-08,60.6,
1998-09,62.8,
1998-10,54.6,
1998-11,53.4,
1998-12,62.9,
1999-01,56.2,
1999-02,57.1,
1999-03,55.0,
1999-04,59.8,
1999-05,58.2,
1999-06,58.6,
1999-07,58.3,
1999-08,61.7,
1999-09,62.7,
1999-10,62.5,
1999-11,66.0,
1999-12,63.7,
2000-01,66.1,
2000-02,72.3,
2000-03,72.3,
2000-04,68.6,
2000-05,74.8,
2000-06,73.2,
2000-07,75.6,
2000-08,79.5,
