"",BBK01.OEYL06L,BBK01.OEYL06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:27,
2002-01,0.009,
2002-04,0.013,
2002-07,0.013,
2002-10,0.013,
2003-01,0.018,
2003-04,0.018,
2003-07,0.018,
2003-10,0.023,
2004-01,0.029,
2004-04,0.031,
2004-07,0.032,
2004-10,0.030,
2005-01,0.030,
2005-04,0.033,
2005-07,0.032,
2005-10,0.029,
2006-01,0.030,
2006-04,0.034,
2006-07,0.036,
2006-10,0.036,
2007-01,0.037,
2007-04,0.037,
2007-07,0.035,
2007-10,0.033,
2008-01,0.032,
2008-04,0.031,
2008-07,0.031,
2008-10,0.027,
2009-01,0.027,
2009-04,0.029,
2009-07,0.029,
2009-10,0.034,
2010-01,0.042,
2010-04,0.052,
2010-07,0.053,
2010-10,0.057,
2011-01,0.062,
2011-04,0.067,
2011-07,0.069,
2011-10,0.068,
2012-01,0.063,
2012-04,0.062,
2012-07,0.065,
2012-10,0.065,
2013-01,0.058,
2013-04,0.055,
2013-07,0.050,
2013-10,0.045,
2014-01,0.046,
2014-04,0.041,
2014-07,0.039,
