"",BBK01.CEB7Q1,BBK01.CEB7Q1_FLAGS
"",Other claims debtor: All sectors  (consolidated)                    creditor:  Non-financial corpoations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:44,
1991-01,136.7,
1991-04,125.9,
1991-07,134.9,
1991-10,135.0,
1992-01,156.4,
1992-04,149.3,
1992-07,140.9,
1992-10,161.1,
1993-01,165.3,
1993-04,163.5,
1993-07,165.6,
1993-10,182.8,
1994-01,182.9,
1994-04,177.3,
1994-07,175.5,
1994-10,190.8,
1995-01,206.0,
1995-04,196.7,
1995-07,203.9,
1995-10,197.6,
1996-01,215.8,
1996-04,213.3,
1996-07,216.1,
1996-10,223.2,
1997-01,243.6,
1997-04,242.0,
1997-07,262.1,
1997-10,265.4,
1998-01,291.0,
1998-04,303.4,
1998-07,303.3,
1998-10,287.0,
1999-01,288.4,
1999-04,287.3,
1999-07,296.8,
1999-10,349.1,
2000-01,337.6,
2000-04,363.1,
2000-07,360.5,
2000-10,365.5,
2001-01,386.8,
2001-04,365.2,
2001-07,366.8,
2001-10,378.1,
2002-01,366.2,
2002-04,362.3,
2002-07,362.0,
2002-10,373.3,
2003-01,390.8,
2003-04,382.3,
2003-07,361.5,
2003-10,372.2,
2004-01,376.1,
2004-04,372.2,
2004-07,372.4,
2004-10,390.7,
2005-01,374.2,
2005-04,375.9,
2005-07,388.1,
2005-10,396.2,
2006-01,409.4,
2006-04,415.6,
2006-07,424.8,
2006-10,445.0,
2007-01,462.2,
2007-04,468.1,
2007-07,488.0,
2007-10,496.9,
2008-01,516.7,
2008-04,533.2,
2008-07,566.0,
2008-10,573.4,
2009-01,585.7,
2009-04,510.1,
2009-07,518.3,
2009-10,517.2,
2010-01,504.8,
2010-04,537.5,
2010-07,509.8,
2010-10,314.1,
2011-01,329.5,
2011-04,336.8,
2011-07,298.2,
2011-10,333.5,
2012-01,346.0,
2012-04,343.0,
2012-07,348.4,
2012-10,345.5,
2013-01,377.2,
2013-04,367.8,
2013-07,366.6,
2013-10,382.4,
2014-01,362.3,
