"",BBFB1.Q.N.DE.IT.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:54,
1999-01,698.312,
1999-04,1742.839,
1999-07,2399.418,
1999-10,951.108,
2000-01,772.986,
2000-04,1929.208,
2000-07,2655.994,
2000-10,1052.813,
2001-01,807.536,
2001-04,2015.438,
2001-07,2774.711,
2001-10,1099.871,
2002-01,900.126,
2002-04,1860.166,
2002-07,2687.846,
2002-10,1014.828,
2003-01,826.034,
2003-04,1931.341,
2003-07,2646.118,
2003-10,960.984,
2004-01,837.840,
2004-04,1718.459,
2004-07,1988.818,
2004-10,853.995,
2005-01,731.472,
2005-04,1459.558,
2005-07,2395.745,
2005-10,973.510,
2006-01,792.651,
2006-04,1773.112,
2006-07,2182.509,
2006-10,907.744,
2007-01,636.988,
2007-04,1671.243,
2007-07,2452.002,
2007-10,1047.420,
2008-01,714.534,
2008-04,1868.504,
2008-07,2726.492,
2008-10,852.210,
2009-01,685.234,
2009-04,1347.728,
2009-07,2437.384,
2009-10,784.527,
2010-01,590.258,
2010-04,1719.577,
2010-07,2396.523,
2010-10,825.230,
2011-01,709.681,
2011-04,1589.815,
2011-07,2473.713,
2011-10,971.044,
2012-01,582.553,
2012-04,1859.270,
2012-07,2880.548,
2012-10,912.439,
2013-01,814.116,
2013-04,1973.828,
2013-07,3117.271,
2013-10,1091.153,
2014-01,733.441,Provisional value
2014-04,1931.503,Provisional value
2014-07,3219.208,Provisional value
2014-10,1042.221,Provisional value
