"",BBK01.CEFP01,BBK01.CEFP01_FLAGS
"",Time deposits                                                    debtor: Total           creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:42,
1999-01,119.1,
1999-04,120.0,
1999-07,120.7,
1999-10,118.9,
2000-01,125.2,
2000-04,123.0,
2000-07,123.8,
2000-10,114.6,
2001-01,125.1,
2001-04,118.5,
2001-07,119.4,
2001-10,120.7,
2002-01,116.0,
2002-04,119.7,
2002-07,123.7,
2002-10,124.2,
2003-01,124.3,
2003-04,125.6,
2003-07,125.2,
2003-10,119.9,
2004-01,116.4,
2004-04,116.5,
2004-07,116.4,
2004-10,126.1,
2005-01,122.7,
2005-04,124.0,
2005-07,132.3,
2005-10,130.1,
2006-01,132.7,
2006-04,136.0,
2006-07,138.1,
2006-10,137.2,
2007-01,141.6,
2007-04,137.0,
2007-07,152.9,
2007-10,161.0,
2008-01,147.5,
2008-04,153.5,
2008-07,157.9,
2008-10,153.6,
2009-01,144.0,
2009-04,137.0,
2009-07,138.8,
2009-10,125.7,
2010-01,125.5,
2010-04,110.0,
2010-07,121.3,
2010-10,124.5,
2011-01,114.4,
2011-04,101.9,
2011-07,85.7,
2011-10,97.0,
2012-01,93.8,
2012-04,80.1,
2012-07,74.6,
2012-10,78.4,
2013-01,58.8,
2013-04,42.3,
2013-07,61.3,
2013-10,65.4,
2014-01,43.6,
2014-04,28.5,
2014-07,38.7,
