"",BBFN1.M.DE.N.1.L.TW.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TW.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"","Liabilities of enterprises vis-à-vis non-residents / Total / China, Taiwan",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:19,
1994-12,0.713,
1995-01,0.673,
1995-02,0.686,
1995-03,0.719,
1995-04,0.627,
1995-05,0.715,
1995-06,0.629,
1995-07,0.733,
1995-08,0.754,
1995-09,0.708,
1995-10,0.642,
1995-11,0.717,
1995-12,0.791,
1996-01,0.821,
1996-02,0.863,
1996-03,0.887,
1996-04,0.910,
1996-05,0.912,
1996-06,0.767,
1996-07,0.774,
1996-08,0.757,
1996-09,0.689,
1996-10,0.734,
1996-11,0.756,
1996-12,0.733,
1997-01,0.775,
1997-02,0.777,
1997-03,0.793,
1997-04,0.811,
1997-05,0.791,
1997-06,0.771,
1997-07,0.779,
1997-08,0.776,
1997-09,0.836,
1997-10,0.855,
1997-11,0.851,
1997-12,0.685,
1998-01,0.693,
1998-02,0.696,
1998-03,0.703,
1998-04,0.729,
1998-05,0.698,
1998-06,0.711,
1998-07,0.759,
1998-08,0.783,
1998-09,0.775,
1998-10,0.788,
1998-11,0.815,
1998-12,0.900,
1999-01,0.876,
1999-02,0.865,
1999-03,0.918,
1999-04,0.917,
1999-05,0.984,
1999-06,1.004,
1999-07,0.953,
1999-08,1.022,
1999-09,1.131,
1999-10,1.218,
1999-11,1.251,
1999-12,1.175,
2000-01,1.172,
2000-02,1.177,
2000-03,1.155,
2000-04,1.158,
2000-05,1.122,
2000-06,0.901,
2000-07,0.914,
2000-08,1.039,
2000-09,1.143,
2000-10,1.279,
2000-11,1.279,
2000-12,1.095,
2001-01,1.004,
2001-02,1.031,
2001-03,0.981,
2001-04,0.999,
2001-05,0.979,
2001-06,1.000,
2001-07,0.914,
2001-08,1.045,
2001-09,1.082,
2001-10,1.117,
2001-11,1.202,
2001-12,1.187,
2002-01,1.136,
2002-02,1.166,
2002-03,1.140,
2002-04,0.979,
2002-05,1.133,
2002-06,1.278,
2002-07,1.214,
2002-08,1.171,
2002-09,1.381,
2002-10,1.400,
2002-11,1.328,
2002-12,1.374,
2003-01,1.357,
2003-02,1.190,
2003-03,1.136,
2003-04,1.134,
2003-05,1.106,
2003-06,1.113,
2003-07,1.096,
2003-08,1.159,
2003-09,1.192,
2003-10,1.321,
2003-11,1.400,
2003-12,1.361,
2004-01,1.233,
2004-02,1.261,
2004-03,1.369,
2004-04,1.329,
2004-05,1.331,
2004-06,1.325,
2004-07,1.283,
2004-08,1.366,
2004-09,1.248,
2004-10,1.304,
2004-11,1.337,
2004-12,1.324,
2005-01,1.217,
2005-02,1.158,
2005-03,1.243,
2005-04,1.170,
2005-05,1.228,
2005-06,1.239,
2005-07,1.140,
2005-08,1.206,
2005-09,1.358,
2005-10,1.398,
2005-11,1.460,
2005-12,1.537,
2006-01,1.483,
2006-02,1.529,
2006-03,1.441,
2006-04,1.361,
2006-05,1.476,
2006-06,1.329,
2006-07,1.345,
2006-08,1.533,
2006-09,1.568,
2006-10,1.634,
2006-11,1.656,
2006-12,1.493,
2007-01,1.517,
2007-02,1.476,
2007-03,1.522,
2007-04,1.437,
2007-05,1.437,
2007-06,1.410,
2007-07,1.395,
2007-08,1.481,
2007-09,1.320,
2007-10,1.362,
2007-11,1.412,
2007-12,1.302,
2008-01,1.293,
2008-02,1.265,
2008-03,1.292,
2008-04,1.243,
2008-05,1.164,
2008-06,1.244,
2008-07,1.261,
2008-08,1.120,
2008-09,1.137,
2008-10,1.163,
2008-11,1.252,
2008-12,1.158,
2009-01,0.987,
2009-02,0.999,
2009-03,0.937,
2009-04,0.920,
2009-05,0.889,
2009-06,0.923,
2009-07,0.944,
2009-08,0.942,
2009-09,1.014,
2009-10,0.976,
2009-11,0.979,
2009-12,0.991,
2010-01,0.954,
2010-02,0.952,
2010-03,1.001,
2010-04,1.019,
2010-05,0.979,
2010-06,1.011,
2010-07,1.034,
2010-08,1.033,
2010-09,1.057,
2010-10,1.060,
2010-11,1.074,
2010-12,1.115,
2011-01,1.078,
2011-02,1.040,
2011-03,1.044,
2011-04,1.036,
2011-05,1.032,
2011-06,1.070,
2011-07,1.032,
2011-08,1.006,
2011-09,1.071,
2011-10,1.076,
2011-11,1.099,
2011-12,1.144,
2012-01,1.107,
2012-02,1.091,
2012-03,1.118,
2012-04,1.196,
2012-05,1.175,
2012-06,1.114,
2012-07,1.121,
2012-08,1.106,
2012-09,1.151,
2012-10,1.176,
2012-11,1.253,
2012-12,1.168,
2013-01,1.107,
2013-02,1.092,
2013-03,1.018,
2013-04,1.002,
2013-05,1.084,
2013-06,1.107,
2013-07,1.043,
2013-08,1.024,
2013-09,1.145,
2013-10,1.100,
2013-11,1.126,
2013-12,1.130,
2014-01,1.106,
2014-02,1.103,
2014-03,1.108,
2014-04,1.121,
2014-05,1.172,
2014-06,1.137,
2014-07,1.146,
2014-08,1.131,
2014-09,1.122,
2014-10,1.135,
2014-11,1.130,
2014-12,1.126,
