"",BBFB1.Q.N.DE.AR.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.AR.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Argentina,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:25,
1991-01,40.718,
1991-04,130.107,
1991-07,28.942,
1991-10,88.864,
1992-01,56.596,
1992-04,31.907,
1992-07,-31.616,
1992-10,126.635,
1993-01,-339.525,
1993-04,-441.380,
1993-07,76.927,
1993-10,14.497,
1994-01,-37.507,
1994-04,157.725,
1994-07,131.077,
1994-10,1.682,
1995-01,34.333,
1995-04,1.105,
1995-07,100.747,
1995-10,-26.974,
1996-01,-35.926,
1996-04,49.033,
1996-07,13.589,
1996-10,51.867,
1997-01,-70.596,
1997-04,-123.905,
1997-07,113.557,
1997-10,6.962,
1998-01,11.083,
1998-04,145.407,
1998-07,-41.730,
1998-10,19.090,
1999-01,49.143,
1999-04,14.435,
1999-07,-108.768,
1999-10,-93.176,
2000-01,47.937,
2000-04,-15.877,
2000-07,51.436,
2000-10,-239.004,
2001-01,-127.088,
2001-04,-66.635,
2001-07,328.598,
2001-10,-305.623,
2002-01,-224.675,
2002-04,-243.253,
2002-07,-81.057,
2002-10,-57.179,
2003-01,77.938,
2003-04,-72.247,
2003-07,28.496,
2003-10,-89.055,
2004-01,-30.060,
2004-04,-95.598,
2004-07,35.620,
2004-10,1.103,
2005-01,-69.122,
2005-04,18.965,
2005-07,-138.935,
2005-10,148.040,
2006-01,-17.455,
2006-04,34.238,
2006-07,49.763,
2006-10,92.815,
2007-01,-21.723,
2007-04,-3.211,
2007-07,51.795,
2007-10,11.349,
2008-01,44.955,
2008-04,-2.345,
2008-07,118.647,
2008-10,3.162,
2009-01,-11.710,
2009-04,-159.903,
2009-07,-39.928,
2009-10,-8.472,
2010-01,-26.608,
2010-04,-19.255,
2010-07,25.790,
2010-10,18.735,
2011-01,21.701,
2011-04,-3.029,
2011-07,51.726,
2011-10,-10.721,
2012-01,-36.755,
2012-04,-6.450,
2012-07,-4.526,
2012-10,-24.419,
2013-01,-28.676,
2013-04,2.214,
2013-07,-93.860,
2013-10,-26.810,
2014-01,-24.619,Provisional value
2014-04,-15.402,Provisional value
2014-07,-22.835,Provisional value
2014-10,-102.717,Provisional value
