"",BBK01.OEAD35S,BBK01.OEAD35S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:02,
2002-01,0.154,
2002-04,0.125,
2002-07,0.110,
2002-10,0.127,
2003-01,0.122,
2003-04,0.102,
2003-07,0.096,
2003-10,0.093,
2004-01,0.093,
2004-04,0.090,
2004-07,0.091,
2004-10,0.088,
2005-01,0.085,
2005-04,0.084,
2005-07,0.085,
2005-10,0.081,
2006-01,0.080,
2006-04,0.077,
2006-07,0.075,
2006-10,0.074,
2007-01,0.074,
2007-04,0.071,
2007-07,0.074,
2007-10,0.072,
2008-01,0.068,
2008-04,0.073,
2008-07,0.075,
2008-10,0.078,
2009-01,0.079,
2009-04,0.079,
2009-07,0.083,
2009-10,0.088,
2010-01,0.090,
2010-04,0.092,
2010-07,0.091,
2010-10,0.091,
2011-01,0.091,
2011-04,0.095,
2011-07,0.095,
2011-10,0.094,
2012-01,0.087,
2012-04,0.089,
2012-07,0.088,
2012-10,0.091,
2013-01,0.090,
2013-04,0.094,
2013-07,0.094,
2013-10,0.090,
2014-01,0.090,
2014-04,0.090,
2014-07,0.096,
