"",BBK01.OECL03N,BBK01.OECL03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:34,
2002-01,3.064,
2002-04,3.023,
2002-07,2.984,
2002-10,2.967,
2003-01,2.780,
2003-04,2.514,
2003-07,2.313,
2003-10,2.210,
2004-01,2.135,
2004-04,1.940,
2004-07,2.000,
2004-10,2.148,
2005-01,2.865,
2005-04,2.872,
2005-07,2.721,
2005-10,2.917,
2006-01,3.017,
2006-04,3.153,
2006-07,3.330,
2006-10,3.623,
2007-01,3.767,
2007-04,4.116,
2007-07,5.059,
2007-10,5.968,
2008-01,6.329,
2008-04,6.761,
2008-07,8.249,
2008-10,8.617,
2009-01,7.253,
2009-04,6.436,
2009-07,4.784,
2009-10,3.662,
2010-01,2.623,
2010-04,2.387,
2010-07,1.926,
2010-10,1.820,
2011-01,1.816,
2011-04,1.953,
2011-07,1.586,
2011-10,1.794,
2012-01,1.874,
2012-04,1.880,
2012-07,1.782,
2012-10,1.199,
2013-01,1.048,
2013-04,0.969,
2013-07,0.882,
2013-10,0.826,
2014-01,0.809,
2014-04,0.952,
2014-07,0.876,
