"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.PT.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.PT.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Portugal / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:21,
2009-09,2927,
2009-10,2957,
2009-11,2926,
2009-12,2716,
2010-01,2497,
2010-02,2846,
2010-03,3095,
2010-04,2528,
2010-05,2373,
2010-06,2224,
2010-07,2381,
2010-08,2446,
2010-09,2286,
2010-10,2296,
2010-11,2086,
2010-12,2093,
2011-01,2055,
2011-02,1998,
2011-03,1832,
2011-04,1466,
2011-05,1413,
2011-06,1205,
2011-07,1062,
2011-08,1056,
2011-09,1058,
2011-10,1139,
2011-11,1044,
2011-12,1112,
2012-01,889,
2012-02,1043,
2012-03,915,
2012-04,887,
2012-05,728,
2012-06,727,
2012-07,712,
2012-08,790,
2012-09,728,
2012-10,734,
2012-11,777,
2012-12,1181,
2013-01,1288,
2013-02,1295,
2013-03,1297,
2013-04,1356,
2013-05,1305,
2013-06,1251,
2013-07,1227,
2013-08,1220,
2013-09,1102,
2013-10,1112,
2013-11,1285,
2013-12,1150,
2014-01,1165,
2014-02,1217,
2014-03,1214,
2014-04,1209,
2014-05,1254,
2014-06,1244,
2014-07,1252,
2014-08,1271,
2014-09,1318,
2014-10,1387,
2014-11,1424,
