"",BBFN1.M.DE.N.1.A.KW.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KW.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Kuwait,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:38,
1975-12,0.001,
1976-01,0.001,
1976-02,0.002,
1976-03,0.001,
1976-04,0.002,
1976-05,0.002,
1976-06,0.002,
1976-07,0.003,
1976-08,0.004,
1976-09,0.002,
1976-10,0.002,
1976-11,0.003,
1976-12,0.003,
1977-01,0.005,
1977-02,0.003,
1977-03,0.002,
1977-04,0.006,
1977-05,0.003,
1977-06,0.003,
1977-07,0.003,
1977-08,0.003,
1977-09,0.002,
1977-10,0.003,
1977-11,0.002,
1977-12,0.005,
1978-01,0.003,
1978-02,0.003,
1978-03,0.005,
1978-04,0.009,
1978-05,0.003,
1978-06,0.003,
1978-07,0.004,
1978-08,0.002,
1978-09,0.003,
1978-10,0.005,
1978-11,0.003,
1978-12,0.002,
1979-01,0.002,
1979-02,0.002,
1979-03,0.002,
1979-04,0.002,
1979-05,0.004,
1979-06,0.003,
1979-07,0.014,
1979-08,0.014,
1979-09,0.014,
1979-10,0.015,
1979-11,0.015,
1979-12,0.014,
1980-01,0.009,
1980-02,0.008,
1980-03,0.009,
1980-04,0.012,
1980-05,0.008,
1980-06,0.014,
1980-07,0.013,
1980-08,0.010,
1980-09,0.011,
1980-10,0.008,
1980-11,0.014,
1980-12,0.011,
1981-01,0.007,
1981-02,0.004,
1981-03,0.009,
1981-04,0.013,
1981-05,0.008,
1981-06,0.008,
1981-07,0.007,
1981-08,0.007,
1981-09,0.002,
1981-10,0.010,
1981-11,0.004,
1981-12,0.012,
1982-01,0.007,
1982-02,0.006,
1982-03,0.010,
1982-04,0.005,
1982-05,0.005,
1982-06,0.005,
1982-07,0.013,
1982-08,0.003,
1982-09,0.005,
1982-10,0.002,
1982-11,0.007,
1982-12,0.011,
1983-01,0.006,
1983-02,0.004,
1983-03,0.006,
1983-04,0.011,
1983-05,0.020,
1983-06,0.024,
1983-07,0.013,
1983-08,0.012,
1983-09,0.010,
1983-10,0.004,
1983-11,0.004,
1983-12,0.010,
1984-01,0.008,
1984-02,0.019,
1984-03,0.005,
1984-04,0.011,
1984-05,0.027,
1984-06,0.011,
1984-07,0.014,
1984-08,0.013,
1984-09,0.020,
1984-10,0.016,
1984-11,0.014,
1984-12,0.019,
1985-01,0.009,
1985-02,0.011,
1985-03,0.011,
1985-04,0.006,
1985-05,0.008,
1985-06,0.010,
1985-07,0.016,
1985-08,0.015,
1985-09,0.011,
1985-10,0.014,
1985-11,0.015,
1985-12,0.013,
1986-01,0.012,
1986-02,0.009,
1986-03,0.018,
1986-04,0.010,
1986-05,0.015,
1986-06,0.015,
1986-07,0.018,
1986-08,0.015,
1986-09,0.014,
1986-10,0.011,
1986-11,0.012,
1986-12,0.010,
1987-01,0.010,
1987-02,0.007,
1987-03,0.005,
1987-04,0.010,
1987-05,0.014,
1987-06,0.007,
1987-07,.,No value available
1987-08,.,No value available
1987-09,0.009,
1987-10,.,No value available
1987-11,0.010,
1987-12,.,No value available
1988-01,.,No value available
1988-02,.,No value available
1988-03,.,No value available
1988-04,.,No value available
1988-05,.,No value available
1988-06,.,No value available
1988-07,.,No value available
1988-08,.,No value available
1988-09,.,No value available
1988-10,.,No value available
1988-11,.,No value available
1988-12,.,No value available
1989-01,.,No value available
1989-02,.,No value available
1989-03,.,No value available
1989-04,.,No value available
1989-05,.,No value available
1989-06,.,No value available
1989-07,.,No value available
1989-08,0.005,
1989-09,.,No value available
1989-10,.,No value available
1989-11,.,No value available
1989-12,.,No value available
1990-01,.,No value available
1990-02,.,No value available
1990-03,.,No value available
1990-04,.,No value available
1990-05,.,No value available
1990-06,0.008,
1990-07,0.006,
1990-08,0.007,
1990-09,.,No value available
1990-10,.,No value available
1990-11,.,No value available
1990-12,.,No value available
1991-01,.,No value available
1991-02,.,No value available
1991-03,.,No value available
1991-04,.,No value available
1991-05,.,No value available
1991-06,.,No value available
1991-07,.,No value available
1991-08,.,No value available
1991-09,.,No value available
1991-10,.,No value available
1991-11,.,No value available
1991-12,.,No value available
1992-01,.,No value available
1992-02,.,No value available
1992-03,.,No value available
1992-04,.,No value available
1992-05,.,No value available
1992-06,.,No value available
1992-07,.,No value available
1992-08,.,No value available
1992-09,.,No value available
1992-10,.,No value available
1992-11,.,No value available
1992-12,0.004,
1993-01,0.003,
1993-02,0.004,
1993-03,0.003,
1993-04,0.002,
1993-05,0.003,
1993-06,.,No value available
1993-07,.,No value available
1993-08,.,No value available
1993-09,.,No value available
1993-10,.,No value available
1993-11,.,No value available
1993-12,.,No value available
1994-01,.,No value available
1994-02,.,No value available
1994-03,.,No value available
1994-04,.,No value available
1994-05,.,No value available
1994-06,0.007,
1994-07,0.014,
1994-08,0.006,
1994-09,.,No value available
1994-10,0.007,
1994-11,.,No value available
1994-12,.,No value available
1995-01,0.004,
1995-02,0.005,
1995-03,0.005,
1995-04,0.006,
1995-05,0.009,
1995-06,0.011,
1995-07,0.015,
1995-08,0.012,
1995-09,0.016,
1995-10,0.015,
1995-11,0.009,
1995-12,0.009,
1996-01,0.010,
1996-02,0.005,
1996-03,0.012,
1996-04,0.005,
1996-05,0.006,
1996-06,0.005,
1996-07,0.002,
1996-08,0.005,
1996-09,0.007,
1996-10,.,No value available
1996-11,.,No value available
1996-12,0.007,
1997-01,0.004,
1997-02,0.008,
1997-03,0.003,
1997-04,0.004,
1997-05,0.008,
1997-06,0.006,
1997-07,0.005,
1997-08,0.004,
1997-09,0.004,
1997-10,0.005,
1997-11,0.013,
1997-12,0.009,
1998-01,0.006,
1998-02,0.007,
1998-03,.,No value available
1998-04,0.002,
1998-05,0.005,
1998-06,0.004,
1998-07,0.012,
1998-08,0.004,
1998-09,0.004,
1998-10,0.004,
1998-11,0.005,
1998-12,0.005,
1999-01,.,No value available
1999-02,0.008,
1999-03,0.008,
1999-04,0.015,
1999-05,0.006,
1999-06,.,No value available
1999-07,.,No value available
1999-08,.,No value available
1999-09,0.009,
1999-10,0.007,
1999-11,0.017,
1999-12,0.016,
2000-01,0.016,
2000-02,0.011,
2000-03,0.010,
2000-04,0.018,
2000-05,0.015,
2000-06,0.015,
2000-07,0.013,
2000-08,0.014,
2000-09,0.019,
2000-10,.,No value available
2000-11,.,No value available
2000-12,0.015,
2001-01,0.014,
2001-02,0.016,
2001-03,0.028,
2001-04,0.021,
2001-05,0.015,
2001-06,0.027,
2001-07,0.017,
2001-08,0.025,
2001-09,0.036,
2001-10,0.034,
2001-11,0.040,
2001-12,0.029,
2002-01,0.036,
2002-02,0.029,
2002-03,0.039,
2002-04,0.033,
2002-05,0.027,
2002-06,0.035,
2002-07,0.034,
2002-08,0.022,
2002-09,0.027,
2002-10,0.022,
2002-11,0.022,
2002-12,0.019,
2003-01,0.024,
2003-02,0.010,
2003-03,0.010,
2003-04,0.011,
2003-05,0.011,
2003-06,0.011,
2003-07,0.012,
2003-08,0.014,
2003-09,0.011,
2003-10,0.010,
2003-11,0.015,
2003-12,0.017,
2004-01,0.020,
2004-02,0.020,
2004-03,0.027,
2004-04,0.018,
2004-05,0.017,
2004-06,0.021,
2004-07,0.023,
2004-08,0.026,
2004-09,0.018,
2004-10,.,No value available
2004-11,0.024,
2004-12,0.018,
2005-01,0.021,
2005-02,0.027,
