"",BBK01.OEAA09O,BBK01.OEAA09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:28,
2002-01,68.994,
2002-04,68.711,
2002-07,69.819,
2002-10,71.435,
2003-01,73.555,
2003-04,70.401,
2003-07,65.649,
2003-10,70.357,
2004-01,69.648,
2004-04,69.254,
2004-07,67.976,
2004-10,68.814,
2005-01,110.271,
2005-04,110.514,
2005-07,111.055,
2005-10,110.993,
2006-01,111.487,
2006-04,110.960,
2006-07,111.770,
2006-10,111.637,
2007-01,111.323,
2007-04,111.587,
2007-07,112.103,
2007-10,110.629,
2008-01,110.247,
2008-04,110.068,
2008-07,104.599,
2008-10,103.408,
2009-01,102.704,
2009-04,102.925,
2009-07,103.339,
2009-10,105.575,
2010-01,104.955,
2010-04,105.754,
2010-07,107.461,
2010-10,107.548,
2011-01,106.664,
2011-04,107.629,
2011-07,107.811,
2011-10,107.259,
2012-01,108.841,
2012-04,110.874,
2012-07,110.406,
2012-10,110.893,
2013-01,110.469,
2013-04,110.111,
2013-07,116.437,
2013-10,116.350,
2014-01,117.767,
2014-04,117.623,
2014-07,117.462,
