"",BBK01.PQC357,BBK01.PQC357_FLAGS
"",Lending to domestic enterprises / Long-term / Big banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:41,
1968-10,1.225,
1969-01,1.360,
1969-04,1.501,
1969-07,1.666,
1969-10,1.918,
1970-01,2.150,
1970-04,2.224,
1970-07,2.247,
1970-10,2.331,
1971-01,2.314,
1971-04,2.433,
1971-07,2.705,
1971-10,2.862,
1972-01,2.867,
1972-04,2.967,
1972-07,3.093,
1972-10,3.382,
1973-01,3.573,
1973-04,3.643,
1973-07,3.692,
1973-10,3.727,
1974-01,3.679,
1974-04,3.598,
1974-07,3.634,
1974-10,3.732,
1975-01,3.762,
1975-04,3.877,
1975-07,4.235,
1975-10,4.530,
1976-01,4.571,
1976-04,4.809,
1976-07,5.104,
1976-10,5.555,
1977-01,5.631,
1977-04,5.867,
1977-07,6.258,
1977-10,6.639,
1978-01,6.626,
1978-04,6.746,
1978-07,7.165,
1978-10,7.658,
1979-01,7.900,
1979-04,8.529,
1979-07,8.871,
1979-10,9.549,
1980-01,9.529,
1980-04,9.713,
1980-07,9.800,
1980-10,9.983,
1981-01,9.624,
1981-04,9.389,
1981-07,9.168,
1981-10,9.144,
1982-01,8.602,
1982-04,8.430,
1982-07,8.214,
1982-10,8.234,
1983-01,7.461,
1983-04,7.815,
1983-07,7.759,
1983-10,7.644,
1984-01,7.219,
1984-04,7.287,
1984-07,7.464,
1984-10,7.848,
1985-01,8.139,
1985-04,8.471,
1985-07,8.949,
1985-10,9.716,
1986-01,9.864,
1986-04,10.940,
1986-07,11.777,
1986-10,12.912,
1987-01,13.172,
1987-04,13.750,
1987-07,14.604,
1987-10,15.610,
1988-01,15.834,
1988-04,16.429,
1988-07,17.221,
1988-10,17.639,
1989-01,18.412,
1989-04,18.887,
1989-07,19.536,
1989-10,20.334,
1990-01,20.499,
1990-04,20.628,
1990-07,20.814,
1990-10,21.209,
1991-01,21.342,
1991-04,22.234,
1991-07,23.273,
1991-10,24.087,
1992-01,24.560,
1992-04,25.426,
1992-07,26.162,
1992-10,26.308,
1993-01,26.464,
1993-04,27.383,
1993-07,28.656,
1993-10,29.643,
1994-01,30.168,
1994-04,30.909,
1994-07,31.023,
1994-10,31.199,
1995-01,32.266,
1995-04,33.306,
1995-07,34.945,
1995-10,36.939,
1996-01,37.771,
1996-04,38.345,
1996-07,39.382,
1996-10,40.358,
1997-01,40.640,
1997-04,41.020,
1997-07,41.591,
1997-10,42.993,
1998-01,43.265,
1998-04,43.903,
1998-07,43.858,
1998-10,46.167,
1999-01,69.268,
1999-04,68.980,
1999-07,69.321,
1999-10,70.823,
2000-01,70.245,
2000-04,71.700,
2000-07,71.644,
2000-10,70.189,
2001-01,69.592,
2001-04,69.045,
2001-07,68.762,
2001-10,66.706,
2002-01,66.762,
2002-04,66.065,
2002-07,65.142,
2002-10,64.855,
2003-01,61.986,
2003-04,61.498,
2003-07,60.041,
2003-10,58.670,
2004-01,58.479,
2004-04,57.148,
2004-07,57.642,
2004-10,62.986,
2005-01,62.091,
2005-04,60.696,
2005-07,60.845,
2005-10,59.991,
2006-01,59.746,
2006-04,59.986,
2006-07,59.458,
2006-10,56.479,
2007-01,55.957,
2007-04,54.991,
2007-07,55.314,
2007-10,56.674,
2008-01,56.481,
2008-04,56.950,
2008-07,57.352,
2008-10,58.117,
2009-01,56.986,
2009-04,53.785,
2009-07,52.850,
2009-10,55.961,
2010-01,55.855,
2010-04,56.629,
2010-07,55.199,
2010-10,55.342,
2011-01,55.041,
2011-04,54.981,
2011-07,55.238,
2011-10,56.092,
2012-01,56.481,
2012-04,60.005,
2012-07,59.388,
2012-10,58.795,
2013-01,58.530,
2013-04,58.671,
2013-07,58.137,
2013-10,57.798,
2014-01,57.461,
2014-04,56.818,
2014-07,57.410,
2014-10,56.580,
