"",BBDL1.M.DE.Y.UNE.UBA000.A0000.A01.D00.0.ABA.A,BBDL1.M.DE.Y.UNE.UBA000.A0000.A01.D00.0.ABA.A_FLAGS
"",Unemployment registered pursuant to section 16 Social Security Code III / Germany / Social Security Code III and Social Security Code II / Absolute value / Calendar and seasonally adjusted,
unit,Anzahl (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-26 10:19:11,
1991-12,2781,
1992-01,2943,
1992-02,2888,
1992-03,2874,
1992-04,2902,
1992-05,2937,
1992-06,2965,
1992-07,3019,
1992-08,3033,
1992-09,3040,
1992-10,3082,
1992-11,3110,
1992-12,3139,
1993-01,3165,
1993-02,3189,
1993-03,3238,
1993-04,3272,
1993-05,3336,
1993-06,3402,
1993-07,3500,
1993-08,3540,
1993-09,3607,
1993-10,3696,
1993-11,3713,
1993-12,3702,
1994-01,3720,
1994-02,3732,
1994-03,3752,
1994-04,3761,
1994-05,3764,
1994-06,3739,
1994-07,3725,
1994-08,3695,
1994-09,3656,
1994-10,3621,
1994-11,3583,
1994-12,3569,
1995-01,3545,
1995-02,3511,
1995-03,3516,
1995-04,3561,
1995-05,3560,
1995-06,3602,
1995-07,3622,
1995-08,3644,
1995-09,3685,
1995-10,3709,
1995-11,3738,
1995-12,3794,
1996-01,3840,
1996-02,3918,
1996-03,3958,
1996-04,3923,
1996-05,3925,
1996-06,3941,
1996-07,3961,
1996-08,3978,
1996-09,4019,
1996-10,4066,
1996-11,4110,
1996-12,4136,
1997-01,4315,
1997-02,4297,
1997-03,4281,
1997-04,4302,
1997-05,4372,
1997-06,4392,
1997-07,4417,
1997-08,4455,
1997-09,4487,
1997-10,4508,
1997-11,4499,
1997-12,4491,
1998-01,4474,
1998-02,4445,
1998-03,4423,
1998-04,4376,
1998-05,4317,
1998-06,4243,
1998-07,4202,
1998-08,4175,
1998-09,4134,
1998-10,4103,
1998-11,4114,
1998-12,4163,
1999-01,4130,
1999-02,4119,
1999-03,4092,
1999-04,4094,
1999-05,4104,
1999-06,4099,
1999-07,4099,
1999-08,4108,
1999-09,4107,
1999-10,4092,
1999-11,4063,
1999-12,4018,
2000-01,3980,
2000-02,3951,
2000-03,3948,
2000-04,3929,
2000-05,3884,
2000-06,3875,
2000-07,3864,
2000-08,3859,
2000-09,3843,
2000-10,3815,
2000-11,3806,
2000-12,3800,
2001-01,3794,
2001-02,3797,
2001-03,3808,
2001-04,3798,
2001-05,3806,
2001-06,3837,
2001-07,3851,
2001-08,3865,
2001-09,3904,
2001-10,3938,
2001-11,3961,
2001-12,3976,
2002-01,3986,
2002-02,3971,
2002-03,3956,
2002-04,3942,
2002-05,4025,
2002-06,4096,
2002-07,4098,
2002-08,4098,
2002-09,4108,
2002-10,4149,
2002-11,4211,
2002-12,4266,
2003-01,4318,
2003-02,4364,
2003-03,4385,
2003-04,4400,
2003-05,4412,
2003-06,4399,
2003-07,4407,
2003-08,4395,
2003-09,4374,
2003-10,4370,
2003-11,4376,
2003-12,4391,
2004-01,4297,
2004-02,4312,
2004-03,4322,
2004-04,4349,
2004-05,4358,
2004-06,4367,
2004-07,4394,
2004-08,4397,
2004-09,4422,
2004-10,4442,
2004-11,4473,
2004-12,4531,
2005-01,4795,
2005-02,4953,
2005-03,5011,
2005-04,4940,
2005-05,4939,
2005-06,4914,
2005-07,4873,
2005-08,4837,
2005-09,4806,
2005-10,4790,
2005-11,4757,
2005-12,4699,
2006-01,4742,
2006-02,4740,
2006-03,4732,
2006-04,4672,
2006-05,4575,
2006-06,4515,
2006-07,4419,
2006-08,4398,
2006-09,4379,
2006-10,4302,
2006-11,4211,
2006-12,4115,
2007-01,4026,
2007-02,3960,
2007-03,3891,
2007-04,3844,
2007-05,3819,
2007-06,3769,
2007-07,3728,
2007-08,3707,
2007-09,3653,
2007-10,3620,
2007-11,3569,
2007-12,3509,
2008-01,3431,
2008-02,3365,
2008-03,3304,
2008-04,3296,
2008-05,3290,
2008-06,3235,
2008-07,3224,
2008-08,3195,
2008-09,3189,
2008-10,3178,
2008-11,3176,
2008-12,3210,
2009-01,3263,
2009-02,3303,
2009-03,3382,
2009-04,3468,
2009-05,3466,
2009-06,3486,
2009-07,3476,
2009-08,3467,
2009-09,3464,
2009-10,3419,
2009-11,3412,
2009-12,3390,
2010-01,3377,
2010-02,3379,
2010-03,3369,
2010-04,3304,
2010-05,3251,
2010-06,3228,
2010-07,3206,
2010-08,3184,
2010-09,3150,
2010-10,3128,
2010-11,3119,
2010-12,3122,
2011-01,3119,
2011-02,3073,
2011-03,3040,
2011-04,2996,
2011-05,2981,
2011-06,2973,
2011-07,2963,
2011-08,2948,
2011-09,2911,
2011-10,2908,
2011-11,2885,
2011-12,2874,
2012-01,2874,
2012-02,2883,
2012-03,2874,
2012-04,2891,
2012-05,2879,
2012-06,2888,
2012-07,2902,
2012-08,2906,
2012-09,2899,
2012-10,2917,
2012-11,2916,
2012-12,2926,
2013-01,2927,
2013-02,2932,
2013-03,2947,
2013-04,2953,
2013-05,2962,
2013-06,2946,
2013-07,2942,
2013-08,2945,
2013-09,2956,
2013-10,2960,
2013-11,2967,
2013-12,2956,
2014-01,2929,
2014-02,2920,
2014-03,2911,
2014-04,2883,
2014-05,2907,
2014-06,2913,
2014-07,2900,
2014-08,2900,
2014-09,2908,
2014-10,2884,
2014-11,2868,
2014-12,2842,
2015-01,2832,
2015-02,2812,
