"",BBK01.OEBJ08H,BBK01.OEBJ08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:51,
2002-01,0.108,
2002-04,0.102,
2002-07,0.094,
2002-10,0.084,
2003-01,0.096,
2003-04,0.108,
2003-07,0.192,
2003-10,0.242,
2004-01,0.296,
2004-04,0.289,
2004-07,0.341,
2004-10,0.313,
2005-01,0.302,
2005-04,0.353,
2005-07,0.375,
2005-10,0.228,
2006-01,0.286,
2006-04,0.198,
2006-07,0.167,
2006-10,0.152,
2007-01,0.259,
2007-04,0.202,
2007-07,0.088,
2007-10,0.091,
2008-01,0.094,
2008-04,0.079,
2008-07,0.078,
2008-10,0.108,
2009-01,0.129,
2009-04,0.088,
2009-07,0.094,
2009-10,0.126,
2010-01,0.170,
2010-04,0.208,
2010-07,0.203,
2010-10,0.167,
2011-01,0.172,
2011-04,0.154,
2011-07,0.155,
2011-10,0.107,
2012-01,0.146,
2012-04,0.159,
2012-07,0.175,
2012-10,0.196,
2013-01,0.208,
2013-04,0.225,
2013-07,0.224,
2013-10,0.229,
2014-01,0.219,
2014-04,0.223,
2014-07,0.224,
