"",BBK01.OEAI01R,BBK01.OEAI01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:07,
2002-01,15.283,
2002-04,15.120,
2002-07,15.321,
2002-10,15.793,
2003-01,15.120,
2003-04,15.060,
2003-07,15.201,
2003-10,15.611,
2004-01,15.201,
2004-04,15.208,
2004-07,15.343,
2004-10,15.700,
2005-01,16.134,
2005-04,16.014,
2005-07,16.348,
2005-10,16.694,
2006-01,16.250,
2006-04,16.422,
2006-07,16.679,
2006-10,17.031,
2007-01,16.899,
2007-04,17.076,
2007-07,17.473,
2007-10,17.665,
2008-01,17.579,
2008-04,17.574,
2008-07,17.859,
2008-10,18.755,
2009-01,18.607,
2009-04,18.649,
2009-07,19.014,
2009-10,19.714,
2010-01,19.343,
2010-04,19.653,
2010-07,20.000,
2010-10,20.365,
2011-01,20.043,
2011-04,20.098,
2011-07,20.459,
2011-10,20.788,
2012-01,20.574,
2012-04,21.065,
2012-07,21.773,
2012-10,22.030,
2013-01,21.920,
2013-04,21.897,
2013-07,22.374,
2013-10,22.504,
2014-01,22.486,
2014-04,22.726,
2014-07,23.356,
