"",BBK01.OEYB15H,BBK01.OEYB15H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:34,
2002-01,0.339,
2002-04,0.483,
2002-07,0.453,
2002-10,0.465,
2003-01,0.384,
2003-04,0.558,
2003-07,0.473,
2003-10,0.520,
2004-01,0.470,
2004-04,0.380,
2004-07,0.348,
2004-10,0.333,
2005-01,0.314,
2005-04,0.287,
2005-07,0.319,
2005-10,0.325,
2006-01,0.231,
2006-04,0.220,
2006-07,0.227,
2006-10,0.245,
2007-01,0.250,
2007-04,0.193,
2007-07,0.169,
2007-10,0.221,
2008-01,0.144,
2008-04,0.131,
2008-07,0.128,
2008-10,0.101,
2009-01,0.111,
2009-04,0.117,
2009-07,0.115,
2009-10,0.123,
2010-01,0.098,
2010-04,0.095,
2010-07,0.092,
2010-10,0.089,
2011-01,0.083,
2011-04,0.101,
2011-07,0.114,
2011-10,0.116,
2012-01,0.113,
2012-04,0.103,
2012-07,0.115,
2012-10,0.117,
2013-01,0.111,
2013-04,0.119,
2013-07,0.119,
2013-10,0.116,
2014-01,0.114,
2014-04,0.049,
2014-07,0.042,
