"",BBK01.OECO03J,BBK01.OECO03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:20,
2002-01,0.079,
2002-04,0.138,
2002-07,0.038,
2002-10,0.038,
2003-01,0.045,
2003-04,0.045,
2003-07,0.049,
2003-10,0.047,
2004-01,0.057,
2004-04,0.045,
2004-07,0.047,
2004-10,0.047,
2005-01,0.122,
2005-04,0.082,
2005-07,0.086,
2005-10,0.092,
2006-01,0.108,
2006-04,0.102,
2006-07,0.097,
2006-10,0.108,
2007-01,0.131,
2007-04,0.096,
2007-07,0.101,
2007-10,0.102,
2008-01,0.112,
2008-04,0.105,
2008-07,0.100,
2008-10,0.111,
2009-01,0.111,
2009-04,0.080,
2009-07,0.101,
2009-10,0.155,
2010-01,0.122,
2010-04,0.088,
2010-07,0.060,
2010-10,0.071,
2011-01,0.098,
2011-04,0.101,
2011-07,0.084,
2011-10,0.067,
2012-01,0.095,
2012-04,0.091,
2012-07,0.075,
2012-10,0.072,
2013-01,0.151,
2013-04,0.098,
2013-07,0.066,
2013-10,0.055,
2014-01,0.051,
2014-04,0.051,
2014-07,0.051,
