"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.P.F51._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.P.F51._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Equity - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:07,
1999-10,41901,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,181428,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,107499,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,107354,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,42647,
2004-01,68931,
2004-04,81007,
2004-07,69330,
2004-10,55695,
2005-01,65415,
2005-04,75978,
2005-07,73883,
2005-10,83644,
2006-01,56280,
2006-04,28053,
2006-07,9091,
2006-10,-51991,
2007-01,-103784,
2007-04,-192728,
2007-07,-204288,
2007-10,-260150,
2008-01,-202576,
2008-04,-177540,
2008-07,-167323,
2008-10,-158199,
2009-01,-117833,
2009-04,-127614,
2009-07,-165938,
2009-10,-171573,
2010-01,-174861,
2010-04,-160300,
2010-07,-172565,
2010-10,-191056,
2011-01,-194451,
2011-04,-206000,
2011-07,-136192,
2011-10,-134283,
2012-01,-173171,
2012-04,-150237,
2012-07,-177790,
2012-10,-184381,
2013-01,-162273,
2013-04,-158312,
2013-07,-169863,
2013-10,-206805,
2014-01,-190438,
2014-04,-180326,
2014-07,-159347,
