"",BBDE1.M.DE.Y.AEA1.A2R130050.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2R130050.F.C.I10.A_FLAGS
"",Orders received / At constant prices / Germany / 13+14 Manufacture of textiles and wearing apparel / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:02,
1991-01,212.8,
1991-02,212.6,
1991-03,225.7,
1991-04,222.9,
1991-05,215.2,
1991-06,233.7,
1991-07,201.4,
1991-08,203.9,
1991-09,211.0,
1991-10,214.7,
1991-11,223.5,
1991-12,218.7,
1992-01,206.3,
1992-02,207.6,
1992-03,199.6,
1992-04,196.3,
1992-05,194.5,
1992-06,194.8,
1992-07,184.6,
1992-08,189.1,
1992-09,195.2,
1992-10,189.0,
1992-11,185.8,
1992-12,184.6,
1993-01,187.5,
1993-02,177.8,
1993-03,183.4,
1993-04,178.5,
1993-05,179.0,
1993-06,177.0,
1993-07,181.4,
1993-08,185.6,
1993-09,181.6,
1993-10,177.8,
1993-11,176.0,
1993-12,174.6,
1994-01,178.4,
1994-02,182.3,
1994-03,171.5,
1994-04,177.5,
1994-05,175.6,
1994-06,162.4,
1994-07,167.1,
1994-08,172.9,
1994-09,168.7,
1994-10,171.6,
1994-11,168.1,
1994-12,164.9,
1995-01,171.0,
1995-02,169.6,
1995-03,165.7,
1995-04,168.2,
1995-05,171.9,
1995-06,163.6,
1995-07,162.6,
1995-08,162.2,
1995-09,162.1,
1995-10,175.3,
1995-11,155.5,
1995-12,153.6,
1996-01,162.1,
1996-02,154.8,
1996-03,165.9,
1996-04,168.5,
1996-05,164.3,
1996-06,161.4,
1996-07,155.2,
1996-08,159.8,
1996-09,162.2,
1996-10,163.5,
1996-11,163.2,
1996-12,159.3,
1997-01,160.2,
1997-02,163.7,
1997-03,167.3,
1997-04,159.3,
1997-05,153.9,
1997-06,158.6,
1997-07,161.6,
1997-08,161.6,
1997-09,160.5,
1997-10,158.5,
1997-11,159.1,
1997-12,159.4,
1998-01,157.0,
1998-02,167.0,
1998-03,161.7,
1998-04,162.4,
1998-05,159.6,
1998-06,167.6,
1998-07,167.8,
1998-08,161.7,
1998-09,159.1,
1998-10,153.0,
1998-11,155.1,
1998-12,157.1,
1999-01,155.3,
1999-02,153.1,
1999-03,152.0,
1999-04,152.0,
1999-05,148.4,
1999-06,153.8,
1999-07,155.3,
1999-08,152.6,
1999-09,152.2,
1999-10,154.1,
1999-11,154.9,
1999-12,153.0,
2000-01,147.3,
2000-02,154.3,
2000-03,152.2,
2000-04,148.6,
2000-05,158.9,
2000-06,155.7,
2000-07,151.4,
