"",BBK01.OEYB21U,BBK01.OEYB21U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:58,
2002-01,1.931,
2002-04,1.931,
2002-07,1.912,
2002-10,1.892,
2003-01,1.876,
2003-04,1.859,
2003-07,1.823,
2003-10,1.827,
2004-01,1.813,
2004-04,1.809,
2004-07,1.884,
2004-10,1.859,
2005-01,1.849,
2005-04,1.847,
2005-07,1.834,
2005-10,1.838,
2006-01,1.855,
2006-04,1.841,
2006-07,1.833,
2006-10,1.811,
2007-01,1.806,
2007-04,1.739,
2007-07,1.739,
2007-10,1.749,
2008-01,1.743,
2008-04,1.736,
2008-07,1.745,
2008-10,1.929,
2009-01,1.919,
2009-04,1.929,
2009-07,1.947,
2009-10,1.959,
2010-01,1.991,
2010-04,1.898,
2010-07,1.927,
2010-10,1.933,
2011-01,1.896,
2011-04,1.920,
2011-07,1.906,
2011-10,1.888,
2012-01,1.962,
2012-04,1.960,
2012-07,1.976,
2012-10,2.009,
2013-01,2.342,
2013-04,2.354,
2013-07,2.366,
2013-10,2.364,
2014-01,2.334,
2014-04,2.305,
2014-07,2.224,
