"",BBK01.OEYL04L,BBK01.OEYL04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:15,
2002-01,0.076,
2002-04,0.098,
2002-07,0.137,
2002-10,0.112,
2003-01,0.139,
2003-04,0.139,
2003-07,0.379,
2003-10,0.409,
2004-01,0.381,
2004-04,0.409,
2004-07,0.413,
2004-10,0.352,
2005-01,0.267,
2005-04,0.159,
2005-07,0.435,
2005-10,0.348,
2006-01,0.202,
2006-04,0.300,
2006-07,0.236,
2006-10,0.313,
2007-01,0.234,
2007-04,0.287,
2007-07,0.221,
2007-10,0.104,
2008-01,0.096,
2008-04,0.092,
2008-07,0.088,
2008-10,0.082,
2009-01,0.100,
2009-04,0.141,
2009-07,0.118,
2009-10,0.098,
2010-01,0.072,
2010-04,0.130,
2010-07,0.126,
2010-10,0.193,
2011-01,0.199,
2011-04,0.237,
2011-07,0.230,
2011-10,0.150,
2012-01,0.146,
2012-04,0.166,
2012-07,0.137,
2012-10,0.096,
2013-01,0.148,
2013-04,0.186,
2013-07,0.192,
2013-10,0.194,
2014-01,0.146,
2014-04,0.195,
2014-07,0.193,
