"",BBK01.OEAE18Q,BBK01.OEAE18Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:24,
2002-01,0.254,
2002-04,0.231,
2002-07,0.266,
2002-10,0.331,
2003-01,0.314,
2003-04,0.306,
2003-07,0.611,
2003-10,0.687,
2004-01,0.352,
2004-04,0.324,
2004-07,0.352,
2004-10,0.456,
2005-01,0.486,
2005-04,0.330,
2005-07,0.315,
2005-10,0.353,
2006-01,0.349,
2006-04,0.274,
2006-07,0.229,
2006-10,0.298,
2007-01,0.358,
2007-04,0.263,
2007-07,0.334,
2007-10,0.352,
2008-01,0.461,
2008-04,0.300,
2008-07,0.298,
2008-10,0.242,
2009-01,0.324,
2009-04,0.222,
2009-07,0.174,
2009-10,0.141,
2010-01,0.163,
2010-04,0.142,
2010-07,0.145,
2010-10,0.114,
2011-01,0.134,
2011-04,0.113,
2011-07,0.104,
2011-10,0.101,
2012-01,0.106,
2012-04,0.107,
2012-07,0.097,
2012-10,0.120,
2013-01,0.108,
2013-04,0.116,
2013-07,0.095,
2013-10,0.150,
2014-01,0.137,
2014-04,0.159,
2014-07,0.152,
