"",BBK01.OEAD08P,BBK01.OEAD08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:58,
2002-01,0.175,
2002-04,0.178,
2002-07,0.183,
2002-10,0.183,
2003-01,0.174,
2003-04,0.171,
2003-07,0.162,
2003-10,0.147,
2004-01,0.156,
2004-04,0.146,
2004-07,0.140,
2004-10,0.140,
2005-01,0.132,
2005-04,0.125,
2005-07,0.122,
2005-10,0.125,
2006-01,0.123,
2006-04,0.121,
2006-07,0.123,
2006-10,0.120,
2007-01,0.132,
2007-04,0.139,
2007-07,0.140,
2007-10,0.130,
2008-01,0.140,
2008-04,0.162,
2008-07,0.160,
2008-10,0.138,
2009-01,0.132,
2009-04,0.129,
2009-07,0.118,
2009-10,0.118,
2010-01,0.120,
2010-04,0.122,
2010-07,0.127,
2010-10,0.121,
2011-01,0.111,
2011-04,0.115,
2011-07,0.117,
2011-10,0.120,
2012-01,0.125,
2012-04,0.133,
2012-07,0.139,
2012-10,0.138,
2013-01,0.138,
2013-04,0.137,
2013-07,0.136,
2013-10,0.140,
2014-01,0.138,
2014-04,0.131,
2014-07,0.134,
