"",BBK01.OEAC38N,BBK01.OEAC38N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:46,
2002-01,1.122,
2002-04,1.049,
2002-07,1.136,
2002-10,1.077,
2003-01,0.882,
2003-04,0.866,
2003-07,0.858,
2003-10,0.758,
2004-01,0.791,
2004-04,0.624,
2004-07,0.691,
2004-10,0.649,
2005-01,0.713,
2005-04,0.737,
2005-07,0.865,
2005-10,0.980,
2006-01,1.169,
2006-04,1.250,
2006-07,1.267,
2006-10,1.206,
2007-01,1.312,
2007-04,1.633,
2007-07,2.514,
2007-10,3.140,
2008-01,4.649,
2008-04,4.647,
2008-07,3.159,
2008-10,4.311,
2009-01,3.215,
2009-04,3.557,
2009-07,3.832,
2009-10,3.964,
2010-01,4.170,
2010-04,4.043,
2010-07,4.584,
2010-10,4.431,
2011-01,4.600,
2011-04,4.262,
2011-07,4.352,
2011-10,4.594,
2012-01,4.959,
2012-04,4.826,
2012-07,4.198,
2012-10,3.749,
2013-01,4.589,
2013-04,5.066,
2013-07,4.240,
2013-10,4.155,
2014-01,4.232,
2014-04,4.134,
2014-07,4.554,
