"",BBK01.OEXI08J,BBK01.OEXI08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:14,
2002-01,0.412,
2002-04,0.399,
2002-07,0.380,
2002-10,0.383,
2003-01,0.384,
2003-04,0.382,
2003-07,0.381,
2003-10,0.375,
2004-01,0.356,
2004-04,0.345,
2004-07,0.333,
2004-10,0.337,
2005-01,0.340,
2005-04,0.344,
2005-07,0.335,
2005-10,0.339,
2006-01,0.337,
2006-04,0.331,
2006-07,0.322,
2006-10,0.324,
2007-01,0.314,
2007-04,0.309,
2007-07,0.303,
2007-10,0.302,
2008-01,0.296,
2008-04,0.280,
2008-07,0.275,
2008-10,0.297,
2009-01,0.304,
2009-04,0.310,
2009-07,0.328,
2009-10,0.349,
2010-01,0.344,
2010-04,0.337,
2010-07,0.331,
2010-10,0.335,
2011-01,0.334,
2011-04,0.323,
2011-07,0.315,
2011-10,0.323,
2012-01,0.322,
2012-04,0.322,
2012-07,0.324,
2012-10,0.335,
2013-01,0.330,
2013-04,0.324,
2013-07,0.322,
2013-10,0.329,
2014-01,0.329,
2014-04,0.324,
2014-07,0.317,
