"",BBK01.OEAC03I,BBK01.OEAC03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:43,
2002-01,2.126,
2002-04,1.768,
2002-07,1.832,
2002-10,1.734,
2003-01,1.578,
2003-04,1.538,
2003-07,1.412,
2003-10,1.362,
2004-01,1.384,
2004-04,1.361,
2004-07,1.356,
2004-10,1.421,
2005-01,1.371,
2005-04,1.200,
2005-07,1.066,
2005-10,1.080,
2006-01,1.116,
2006-04,1.007,
2006-07,1.132,
2006-10,1.008,
2007-01,1.092,
2007-04,1.009,
2007-07,1.137,
2007-10,1.177,
2008-01,1.183,
2008-04,1.174,
2008-07,1.188,
2008-10,1.464,
2009-01,1.743,
2009-04,1.824,
2009-07,3.929,
2009-10,4.005,
2010-01,4.420,
2010-04,4.649,
2010-07,4.621,
2010-10,4.680,
2011-01,4.898,
2011-04,4.992,
2011-07,5.295,
2011-10,5.306,
2012-01,5.564,
2012-04,5.584,
2012-07,5.766,
2012-10,5.775,
2013-01,5.630,
2013-04,5.683,
2013-07,6.020,
2013-10,6.231,
2014-01,6.042,
2014-04,5.913,
2014-07,5.751,
