"",BBSF2.M.1.S.00000.AKT01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Deposits and loan claims,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:17,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,755,
1993-05,756,
1993-06,773,
1993-07,872,
1993-08,762,
1993-09,999,
1993-10,939,
1993-11,922,
1993-12,740,
1994-01,873,
1994-02,566,
1994-03,560,
1994-04,865,
1994-05,835,
1994-06,558,
1994-07,898,
1994-08,964,
1994-09,942,
1994-10,665,
1994-11,667,
1994-12,660,
1995-01,668,
1995-02,739,
1995-03,684,
1995-04,808,
1995-05,1026,
1995-06,957,
1995-07,720,
1995-08,722,
1995-09,888,
1995-10,814,
1995-11,751,
1995-12,894,
1996-01,917,
1996-02,983,
1996-03,954,
1996-04,898,
1996-05,1149,
1996-06,1025,
1996-07,1084,
1996-08,1041,
1996-09,1053,
1996-10,1094,
1996-11,1043,
1996-12,1184,
1997-01,1179,
1997-02,1086,
1997-03,1240,
1997-04,1052,
1997-05,1204,
1997-06,1403,
1997-07,1488,
1997-08,1517,
1997-09,1741,
1997-10,1795,
1997-11,1764,
1997-12,1814,
1998-01,2239,
1998-02,1755,
1998-03,1921,
1998-04,1949,
1998-05,2132,
1998-06,1955,
1998-07,2226,
1998-08,2054,
1998-09,3112,
1998-10,4040,
1998-11,3911,
1998-12,2509,
1999-01,1955,
1999-02,1977,
1999-03,1882,
1999-04,1800,
1999-05,2314,
1999-06,2038,
1999-07,2405,
1999-08,2223,
1999-09,2213,
1999-10,2338,
1999-11,2199,
1999-12,2018,
2000-01,2907,
2000-02,3034,
2000-03,2728,
2000-04,2840,
2000-05,3501,
2000-06,2639,
2000-07,2671,
2000-08,2266,
2000-09,2300,
2000-10,2313,
2000-11,2324,
2000-12,2606,
2001-01,2517,
2001-02,2336,
2001-03,2373,
2001-04,2388,
2001-05,2300,
2001-06,2414,
2001-07,2450,
2001-08,2789,
2001-09,3249,
2001-10,3259,
2001-11,3195,
2001-12,3322,
2002-01,3294,
2002-02,3060,
2002-03,2719,
2002-04,2609,
2002-05,2591,
2002-06,2688,
2002-07,2946,
2002-08,2943,
2002-09,3264,
2002-10,5096,
2002-11,5095,
2002-12,4677,
2003-01,3660,
2003-02,2900,
2003-03,3773,
2003-04,3747,
2003-05,3961,
2003-06,3943,
2003-07,3848,
2003-08,3998,
2003-09,4013,
2003-10,4558,
2003-11,3226,
2003-12,2739,
2004-01,4133,
2004-02,4161,
2004-03,4307,
2004-04,4116,
2004-05,3938,
2004-06,3780,
2004-07,3464,
2004-08,3817,
2004-09,3710,
2004-10,3074,
2004-11,3372,
2004-12,2265,
2005-01,3327,
2005-02,3566,
2005-03,3574,
2005-04,3503,
2005-05,3081,
2005-06,3158,
2005-07,3157,
2005-08,3449,
2005-09,4155,
2005-10,3578,
2005-11,3743,
2005-12,3265,
2006-01,3758,
2006-02,3579,
2006-03,3578,
2006-04,4478,
2006-05,3808,
2006-06,3336,
2006-07,3593,
2006-08,3404,
2006-09,2638,
2006-10,2474,
2006-11,2917,
2006-12,2788,
2007-01,4219,
2007-02,2999,
2007-03,4212,
2007-04,4396,
2007-05,3311,
2007-06,3072,
2007-07,3748,
2007-08,4277,
2007-09,4332,
2007-10,4230,
2007-11,4444,
2007-12,3777,
2008-01,4636,
2008-02,4881,
2008-03,5257,
2008-04,4930,
2008-05,7713,
2008-06,7147,
2008-07,7039,
2008-08,7019,
2008-09,7543,
2008-10,7114,
2008-11,6268,
2008-12,5068,
2009-01,5498,
2009-02,5758,
2009-03,5633,
2009-04,5528,
2009-05,5028,
2009-06,7176,
2009-07,6546,
2009-08,5910,
2009-09,3100,
2009-10,2981,
2009-11,2408,
2009-12,2347,
2010-01,2333,
2010-02,2386,
2010-03,2058,
2010-04,2172,
2010-05,2329,
2010-06,2141,
2010-07,2562,
2010-08,2659,
2010-09,1821,
2010-10,1623,
2010-11,1949,
2010-12,1585,
2011-01,2483,
2011-02,2082,
2011-03,2447,
2011-04,2384,
2011-05,2566,
2011-06,2380,
2011-07,2423,
2011-08,2653,
2011-09,3106,
2011-10,2653,
2011-11,2602,
2011-12,2302,
2012-01,2595,
2012-02,2317,
2012-03,2328,
2012-04,2391,
2012-05,2175,
2012-06,2889,
2012-07,2202,
2012-08,2675,
2012-09,2592,
2012-10,2489,
2012-11,2287,
2012-12,2098,
2013-01,2496,
2013-02,2320,
2013-03,2637,
2013-04,2669,
2013-05,2774,
2013-06,2427,
2013-07,2686,
2013-08,2231,
2013-09,2519,
2013-10,2331,
2013-11,2166,
2013-12,2417,
2014-01,2689,
2014-02,2569,
2014-03,2971,
2014-04,8375,
2014-05,8907,
2014-06,3148,
2014-07,2842,
2014-08,3285,
2014-09,3229,
2014-10,2747,
2014-11,2585,
