"",BBK01.OEAD36H,BBK01.OEAD36H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:57,
2002-01,3.015,
2002-04,2.800,
2002-07,2.761,
2002-10,2.898,
2003-01,2.822,
2003-04,2.820,
2003-07,2.745,
2003-10,2.508,
2004-01,2.524,
2004-04,2.215,
2004-07,2.109,
2004-10,2.028,
2005-01,2.000,
2005-04,1.958,
2005-07,1.878,
2005-10,1.814,
2006-01,1.765,
2006-04,1.751,
2006-07,1.823,
2006-10,1.847,
2007-01,1.827,
2007-04,1.888,
2007-07,1.890,
2007-10,1.818,
2008-01,1.874,
2008-04,1.897,
2008-07,1.962,
2008-10,1.846,
2009-01,1.788,
2009-04,1.774,
2009-07,1.787,
2009-10,1.681,
2010-01,1.605,
2010-04,1.781,
2010-07,1.805,
2010-10,1.779,
2011-01,1.745,
2011-04,1.743,
2011-07,1.803,
2011-10,1.836,
2012-01,2.438,
2012-04,2.466,
2012-07,2.133,
2012-10,2.088,
2013-01,1.861,
2013-04,1.863,
2013-07,1.912,
2013-10,1.904,
2014-01,1.887,
2014-04,1.944,
2014-07,1.961,
