"",BBK01.OEHJ01Q,BBK01.OEHJ01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:16,
2002-01,2.000,
2002-04,2.065,
2002-07,2.090,
2002-10,2.077,
2003-01,2.114,
2003-04,2.086,
2003-07,2.171,
2003-10,2.294,
2004-01,2.291,
2004-04,2.351,
2004-07,2.530,
2004-10,2.600,
2005-01,2.509,
2005-04,2.608,
2005-07,2.687,
2005-10,2.868,
2006-01,2.758,
2006-04,2.870,
2006-07,2.993,
2006-10,3.070,
2007-01,2.999,
2007-04,3.066,
2007-07,3.159,
2007-10,3.095,
2008-01,2.995,
2008-04,3.075,
2008-07,3.208,
2008-10,3.194,
2009-01,3.286,
2009-04,3.335,
2009-07,3.572,
2009-10,3.652,
2010-01,3.577,
2010-04,3.592,
2010-07,3.608,
2010-10,3.570,
2011-01,3.642,
2011-04,3.815,
2011-07,3.974,
2011-10,4.015,
2012-01,3.975,
2012-04,4.060,
2012-07,4.043,
2012-10,4.112,
2013-01,4.119,
2013-04,4.251,
2013-07,4.310,
2013-10,4.275,
2014-01,4.257,
2014-04,4.435,
2014-07,4.589,
