"",BBK01.CEBRQ2,BBK01.CEBRQ2_FLAGS
"",longer-term time deposits (consolidated) debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:16,
1991-01,205.7,
1991-04,210.4,
1991-07,214.5,
1991-10,217.0,
1992-01,220.3,
1992-04,220.7,
1992-07,221.7,
1992-10,225.5,
1993-01,229.2,
1993-04,235.3,
1993-07,241.0,
1993-10,249.1,
1994-01,259.6,
1994-04,267.5,
1994-07,274.3,
1994-10,280.5,
1995-01,285.2,
1995-04,294.9,
1995-07,303.8,
1995-10,310.4,
1996-01,324.5,
1996-04,331.9,
1996-07,335.9,
1996-10,343.3,
1997-01,351.1,
1997-04,357.6,
1997-07,363.2,
1997-10,373.4,
1998-01,381.5,
1998-04,386.9,
1998-07,390.3,
1998-10,383.8,
1999-01,394.2,
1999-04,406.4,
1999-07,419.5,
1999-10,430.5,
2000-01,445.0,
2000-04,451.2,
2000-07,460.8,
2000-10,462.5,
2001-01,466.7,
2001-04,478.2,
2001-07,486.3,
2001-10,497.0,
2002-01,509.4,
2002-04,501.0,
2002-07,509.6,
2002-10,518.8,
2003-01,529.0,
2003-04,533.2,
2003-07,549.6,
2003-10,550.8,
2004-01,558.5,
2004-04,565.7,
2004-07,572.4,
2004-10,578.2,
2005-01,600.0,
2005-04,622.9,
2005-07,642.5,
2005-10,658.2,
2006-01,682.4,
2006-04,704.1,
2006-07,723.3,
2006-10,754.8,
2007-01,777.0,
2007-04,804.2,
2007-07,834.0,
2007-10,860.4,
2008-01,874.9,
2008-04,893.1,
2008-07,940.8,
2008-10,973.4,
2009-01,992.1,
2009-04,1017.1,
2009-07,1002.4,
2009-10,982.2,
2010-01,983.5,
2010-04,984.6,
2010-07,954.1,
2010-10,964.8,
2011-01,947.5,
2011-04,941.6,
2011-07,952.6,
2011-10,933.3,
2012-01,907.8,
2012-04,884.6,
2012-07,872.7,
2012-10,845.6,
2013-01,837.1,
2013-04,824.0,
2013-07,810.8,
2013-10,795.5,
2014-01,791.1,
