"",BBK01.OEXB03V,BBK01.OEXB03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:30,
2002-01,2.052,
2002-04,2.154,
2002-07,2.209,
2002-10,2.407,
2003-01,2.419,
2003-04,1.333,
2003-07,1.377,
2003-10,1.434,
2004-01,1.300,
2004-04,1.258,
2004-07,1.279,
2004-10,1.263,
2005-01,1.479,
2005-04,1.488,
2005-07,1.583,
2005-10,1.569,
2006-01,1.573,
2006-04,1.594,
2006-07,1.606,
2006-10,1.720,
2007-01,1.780,
2007-04,1.830,
2007-07,1.862,
2007-10,1.509,
2008-01,1.531,
2008-04,1.570,
2008-07,1.567,
2008-10,1.724,
2009-01,1.761,
2009-04,1.757,
2009-07,1.765,
2009-10,1.924,
2010-01,1.841,
2010-04,1.807,
2010-07,1.783,
2010-10,1.733,
2011-01,1.708,
2011-04,1.667,
2011-07,1.633,
2011-10,1.565,
2012-01,1.522,
2012-04,1.506,
2012-07,1.438,
2012-10,1.405,
2013-01,1.363,
2013-04,1.356,
2013-07,1.354,
2013-10,1.359,
2014-01,1.358,
2014-04,1.099,
2014-07,1.087,
