"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.DK.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.DK.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Denmark / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:16,
2009-09,1189,
2009-10,1269,
2009-11,1259,
2009-12,1580,
2010-01,1169,
2010-02,1104,
2010-03,1229,
2010-04,1072,
2010-05,1054,
2010-06,1020,
2010-07,1010,
2010-08,951,
2010-09,974,
2010-10,1024,
2010-11,964,
2010-12,1144,
2011-01,708,
2011-02,627,
2011-03,560,
2011-04,507,
2011-05,511,
2011-06,481,
2011-07,445,
2011-08,423,
2011-09,432,
2011-10,383,
2011-11,381,
2011-12,378,
2012-01,261,
2012-02,266,
2012-03,268,
2012-04,272,
2012-05,278,
2012-06,490,
2012-07,559,
2012-08,559,
2012-09,571,
2012-10,545,
2012-11,592,
2012-12,819,
2013-01,545,
2013-02,566,
2013-03,702,
2013-04,665,
2013-05,662,
2013-06,646,
2013-07,645,
2013-08,718,
2013-09,777,
2013-10,762,
2013-11,754,
2013-12,744,
2014-01,434,
2014-02,342,
2014-03,281,
2014-04,191,
2014-05,220,
2014-06,235,
2014-07,236,
2014-08,239,
2014-09,265,
2014-10,258,
2014-11,265,
