"",BBK01.OEAH23K,BBK01.OEAH23K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:37,
2002-01,0.136,
2002-04,0.140,
2002-07,0.150,
2002-10,0.136,
2003-01,0.129,
2003-04,0.115,
2003-07,0.107,
2003-10,0.102,
2004-01,0.103,
2004-04,0.090,
2004-07,0.073,
2004-10,0.063,
2005-01,0.068,
2005-04,0.064,
2005-07,0.070,
2005-10,0.072,
2006-01,0.080,
2006-04,0.088,
2006-07,0.126,
2006-10,0.190,
2007-01,0.220,
2007-04,0.243,
2007-07,0.257,
2007-10,0.328,
2008-01,0.401,
2008-04,0.475,
2008-07,0.540,
2008-10,0.611,
2009-01,0.688,
2009-04,0.606,
2009-07,0.528,
2009-10,0.421,
2010-01,0.320,
2010-04,0.302,
2010-07,0.305,
2010-10,0.307,
2011-01,0.351,
2011-04,0.357,
2011-07,0.353,
2011-10,0.350,
2012-01,0.283,
2012-04,0.281,
2012-07,0.253,
2012-10,0.256,
2013-01,0.242,
2013-04,0.205,
2013-07,0.176,
2013-10,0.171,
2014-01,0.156,
2014-04,0.188,
2014-07,0.195,
