"",BBK01.OEAM01N,BBK01.OEAM01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:12,
2002-01,11.050,
2002-04,10.834,
2002-07,9.018,
2002-10,9.388,
2003-01,9.286,
2003-04,10.323,
2003-07,9.311,
2003-10,10.446,
2004-01,8.997,
2004-04,10.602,
2004-07,9.478,
2004-10,8.516,
2005-01,8.367,
2005-04,9.012,
2005-07,8.491,
2005-10,9.792,
2006-01,10.146,
2006-04,16.391,
2006-07,14.556,
2006-10,15.328,
2007-01,15.418,
2007-04,16.861,
2007-07,17.541,
2007-10,19.784,
2008-01,19.560,
2008-04,21.056,
2008-07,21.562,
2008-10,22.920,
2009-01,21.715,
2009-04,26.709,
2009-07,21.610,
2009-10,20.073,
2010-01,21.056,
2010-04,27.519,
2010-07,26.223,
2010-10,25.226,
2011-01,29.340,
2011-04,33.643,
2011-07,34.677,
2011-10,33.553,
2012-01,46.198,
2012-04,58.598,
2012-07,54.419,
2012-10,28.254,
2013-01,27.343,
2013-04,28.089,
2013-07,26.920,
2013-10,25.258,
2014-01,23.614,
2014-04,22.815,
2014-07,21.662,
