"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.U9.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.U9.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / All areas other than EU and ref./home area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:27,
2009-09,38193,
2009-10,37513,
2009-11,38290,
2009-12,40345,
2010-01,40444,
2010-02,41631,
2010-03,44760,
2010-04,45687,
2010-05,44274,
2010-06,44170,
2010-07,43646,
2010-08,43637,
2010-09,44486,
2010-10,45205,
2010-11,47960,
2010-12,50482,
2011-01,48986,
2011-02,49287,
2011-03,46968,
2011-04,46554,
2011-05,47315,
2011-06,45365,
2011-07,45969,
2011-08,41254,
2011-09,39954,
2011-10,42418,
2011-11,41226,
2011-12,43067,
2012-01,45224,
2012-02,46101,
2012-03,46406,
2012-04,46247,
2012-05,45380,
2012-06,45684,
2012-07,48464,
2012-08,49028,
2012-09,49492,
2012-10,48524,
2012-11,48885,
2012-12,48969,
2013-01,50164,
2013-02,52581,
2013-03,54745,
2013-04,54798,
2013-05,55500,
2013-06,53021,
2013-07,54372,
2013-08,54289,
2013-09,55265,
2013-10,56236,
2013-11,56386,
2013-12,56152,
2014-01,55417,
2014-02,56962,
2014-03,57010,
2014-04,57919,
2014-05,60093,
2014-06,61186,
2014-07,62125,
2014-08,63689,
2014-09,64919,
2014-10,65736,
2014-11,67835,
