"",BBK01.OEYM02K,BBK01.OEYM02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:38,
2002-01,0.081,
2002-04,0.212,
2002-07,0.276,
2002-10,0.229,
2003-01,0.098,
2003-04,0.330,
2003-07,0.051,
2003-10,0.059,
2004-01,0.183,
2004-04,0.212,
2004-07,0.216,
2004-10,0.074,
2005-01,0.077,
2005-04,0.033,
2005-07,0.049,
2005-10,0.041,
2006-01,0.045,
2006-04,0.023,
2006-07,0.045,
2006-10,0.051,
2007-01,0.017,
2007-04,0.047,
2007-07,0.025,
2007-10,0.084,
2008-01,0.020,
2008-04,0.034,
2008-07,0.051,
2008-10,0.109,
2009-01,0.019,
2009-04,0.170,
2009-07,0.020,
2009-10,0.036,
2010-01,0.029,
2010-04,0.152,
2010-07,0.138,
2010-10,0.160,
2011-01,0.124,
2011-04,0.141,
2011-07,0.114,
2011-10,0.070,
2012-01,0.082,
2012-04,0.128,
2012-07,0.066,
2012-10,0.019,
2013-01,0.014,
2013-04,0.012,
2013-07,0.017,
2013-10,0.021,
2014-01,0.024,
2014-04,0.048,
2014-07,0.106,
