"",BBK01.OEAH94L,BBK01.OEAH94L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:36,
2002-01,0.356,
2002-04,0.350,
2002-07,0.342,
2002-10,0.346,
2003-01,0.374,
2003-04,0.269,
2003-07,0.274,
2003-10,0.290,
2004-01,0.281,
2004-04,0.282,
2004-07,0.304,
2004-10,0.277,
2005-01,0.298,
2005-04,0.302,
2005-07,0.297,
2005-10,0.272,
2006-01,0.278,
2006-04,0.290,
2006-07,0.279,
2006-10,3.229,
2007-01,3.220,
2007-04,3.806,
2007-07,4.561,
2007-10,5.045,
2008-01,6.129,
2008-04,7.957,
2008-07,8.454,
2008-10,8.420,
2009-01,8.736,
2009-04,8.453,
2009-07,9.558,
2009-10,9.664,
2010-01,10.017,
2010-04,10.540,
2010-07,9.975,
2010-10,10.102,
2011-01,9.768,
2011-04,9.663,
2011-07,10.037,
2011-10,10.219,
2012-01,10.074,
2012-04,10.322,
2012-07,10.246,
2012-10,10.122,
2013-01,10.227,
2013-04,10.162,
2013-07,9.945,
2013-10,9.833,
2014-01,8.219,
2014-04,8.243,
2014-07,8.583,
