"",BBK01.OEAE07K,BBK01.OEAE07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:51,
2002-01,1.946,
2002-04,1.959,
2002-07,1.957,
2002-10,1.975,
2003-01,1.917,
2003-04,1.716,
2003-07,1.688,
2003-10,1.654,
2004-01,1.597,
2004-04,1.772,
2004-07,1.746,
2004-10,1.725,
2005-01,1.692,
2005-04,1.710,
2005-07,1.651,
2005-10,1.712,
2006-01,1.642,
2006-04,1.671,
2006-07,1.705,
2006-10,1.617,
2007-01,1.528,
2007-04,1.564,
2007-07,1.543,
2007-10,1.500,
2008-01,1.649,
2008-04,1.640,
2008-07,1.586,
2008-10,1.663,
2009-01,1.621,
2009-04,1.830,
2009-07,1.532,
2009-10,1.520,
2010-01,1.508,
2010-04,1.672,
2010-07,2.525,
2010-10,2.698,
2011-01,2.677,
2011-04,2.627,
2011-07,2.600,
2011-10,2.560,
2012-01,2.603,
2012-04,3.276,
2012-07,3.296,
2012-10,3.273,
2013-01,3.268,
2013-04,3.300,
2013-07,3.259,
2013-10,3.098,
2014-01,3.042,
2014-04,3.004,
2014-07,3.020,
