"",BBFB1.Q.N.DE.S3.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:56,
1991-01,-36.264,
1991-04,-380.201,
1991-07,205.395,
1991-10,302.922,
1992-01,267.148,
1992-04,-373.399,
1992-07,137.427,
1992-10,647.427,
1993-01,88.970,
1993-04,54.833,
1993-07,-115.664,
1993-10,104.303,
1994-01,82.201,
1994-04,320.315,
1994-07,278.475,
1994-10,-104.256,
1995-01,-44.152,
1995-04,1516.775,
1995-07,462.733,
1995-10,761.685,
1996-01,658.270,
1996-04,-215.124,
1996-07,-480.555,
1996-10,148.268,
1997-01,-405.756,
1997-04,-680.119,
1997-07,948.553,
1997-10,-112.010,
1998-01,981.648,
1998-04,-608.845,
1998-07,-630.332,
1998-10,1167.863,
1999-01,-863.198,
1999-04,174.589,
1999-07,-320.164,
1999-10,813.029,
2000-01,142.999,
2000-04,1043.474,
2000-07,661.511,
2000-10,-268.003,
2001-01,-453.662,
2001-04,895.057,
2001-07,-1418.206,
2001-10,708.068,
2002-01,70.404,
2002-04,652.190,
2002-07,-174.648,
2002-10,121.379,
2003-01,-1160.970,
2003-04,-95.383,
2003-07,-259.835,
2003-10,450.886,
2004-01,336.680,
2004-04,63.404,
2004-07,272.034,
2004-10,147.380,
2005-01,-1437.942,
2005-04,507.682,
2005-07,732.386,
2005-10,1059.129,
2006-01,168.153,
2006-04,1941.264,
2006-07,812.197,
2006-10,1111.604,
2007-01,190.376,
2007-04,1255.747,
2007-07,739.441,
2007-10,1227.496,
2008-01,-93.348,
2008-04,1108.536,
2008-07,1746.936,
2008-10,-1331.677,
2009-01,-1476.816,
2009-04,-1205.917,
2009-07,-124.805,
2009-10,272.205,
2010-01,-97.399,
2010-04,140.681,
2010-07,409.968,
2010-10,62.709,
2011-01,-474.128,
2011-04,-29.022,
2011-07,-581.203,
2011-10,-49.990,
2012-01,969.456,
2012-04,-1935.212,
2012-07,-117.548,
2012-10,775.904,
2013-01,935.708,
2013-04,1010.831,
2013-07,-1098.468,
2013-10,-773.307,
2014-01,-151.793,Provisional value
2014-04,685.243,Provisional value
2014-07,-273.065,Provisional value
2014-10,-556.209,Provisional value
