"",BBSF2.M.1.P.00000.GEM01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEM01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed securities funds / Sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:33,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,63,
1993-05,64,
1993-06,261,
1993-07,63,
1993-08,114,
1993-09,94,
1993-10,175,
1993-11,344,
1993-12,270,
1994-01,711,
1994-02,435,
1994-03,385,
1994-04,195,
1994-05,149,
1994-06,128,
1994-07,113,
1994-08,100,
1994-09,66,
1994-10,108,
1994-11,361,
1994-12,218,
1995-01,73,
1995-02,72,
1995-03,51,
1995-04,51,
1995-05,63,
1995-06,33,
1995-07,36,
1995-08,100,
1995-09,56,
1995-10,155,
1995-11,97,
1995-12,302,
1996-01,89,
1996-02,74,
1996-03,150,
1996-04,121,
1996-05,65,
1996-06,71,
1996-07,65,
1996-08,73,
1996-09,97,
1996-10,108,
1996-11,151,
1996-12,267,
1997-01,283,
1997-02,174,
1997-03,165,
1997-04,148,
1997-05,261,
1997-06,196,
1997-07,256,
1997-08,167,
1997-09,170,
1997-10,280,
1997-11,220,
1997-12,502,
1998-01,978,
1998-02,686,
1998-03,649,
1998-04,574,
1998-05,329,
1998-06,352,
1998-07,422,
1998-08,383,
1998-09,353,
1998-10,298,
1998-11,384,
1998-12,745,
1999-01,977,
1999-02,594,
1999-03,612,
1999-04,586,
1999-05,506,
1999-06,421,
1999-07,514,
1999-08,441,
1999-09,415,
1999-10,571,
1999-11,750,
1999-12,949,
2000-01,1143,
2000-02,1266,
2000-03,1340,
2000-04,1194,
2000-05,1060,
2000-06,700,
2000-07,783,
2000-08,740,
2000-09,850,
2000-10,757,
2000-11,862,
2000-12,843,
2001-01,960,
2001-02,614,
2001-03,534,
2001-04,446,
2001-05,465,
2001-06,448,
2001-07,457,
2001-08,557,
2001-09,372,
2001-10,284,
2001-11,443,
2001-12,546,
2002-01,614,
2002-02,412,
2002-03,379,
2002-04,410,
2002-05,895,
2002-06,613,
2002-07,535,
2002-08,573,
2002-09,422,
2002-10,407,
2002-11,418,
2002-12,1074,
2003-01,350,
2003-02,335,
2003-03,345,
2003-04,345,
2003-05,411,
2003-06,453,
2003-07,601,
2003-08,736,
2003-09,625,
2003-10,473,
2003-11,473,
2003-12,900,
2004-01,649,
2004-02,759,
2004-03,789,
2004-04,578,
2004-05,406,
2004-06,302,
2004-07,378,
2004-08,332,
2004-09,578,
2004-10,339,
2004-11,450,
2004-12,453,
2005-01,805,
2005-02,548,
2005-03,425,
2005-04,426,
2005-05,313,
2005-06,1065,
2005-07,709,
2005-08,382,
2005-09,590,
2005-10,657,
2005-11,797,
2005-12,681,
2006-01,1125,
2006-02,899,
2006-03,945,
2006-04,476,
2006-05,682,
2006-06,545,
2006-07,571,
2006-08,555,
2006-09,880,
2006-10,644,
2006-11,705,
2006-12,753,
2007-01,1234,
2007-02,1189,
2007-03,885,
2007-04,2625,
2007-05,1141,
2007-06,804,
2007-07,1694,
2007-08,1038,
2007-09,1356,
2007-10,2516,
2007-11,1551,
2007-12,1691,
2008-01,1252,
2008-02,1714,
2008-03,957,
2008-04,1171,
2008-05,1245,
2008-06,996,
2008-07,1014,
2008-08,812,
2008-09,1193,
2008-10,838,
2008-11,855,
2008-12,3382,
2009-01,964,
2009-02,655,
2009-03,444,
2009-04,608,
2009-05,542,
2009-06,584,
2009-07,648,
2009-08,673,
2009-09,598,
2009-10,809,
2009-11,667,
2009-12,1069,
2010-01,1382,
2010-02,1099,
2010-03,1342,
2010-04,1030,
2010-05,892,
2010-06,985,
2010-07,932,
2010-08,1251,
2010-09,1542,
2010-10,1619,
2010-11,1386,
2010-12,1166,
2011-01,1862,
2011-02,1494,
2011-03,1095,
2011-04,1113,
2011-05,854,
2011-06,627,
2011-07,976,
2011-08,467,
2011-09,640,
2011-10,686,
2011-11,537,
2011-12,549,
2012-01,1725,
2012-02,681,
2012-03,673,
2012-04,571,
2012-05,815,
2012-06,605,
2012-07,645,
2012-08,754,
2012-09,751,
2012-10,755,
2012-11,2112,
2012-12,1708,
2013-01,1613,
2013-02,1527,
2013-03,2010,
2013-04,2345,
2013-05,1273,
2013-06,2617,
2013-07,2640,
2013-08,1273,
2013-09,1839,
2013-10,3099,
2013-11,2220,
2013-12,1341,
2014-01,2259,
2014-02,5748,
2014-03,1789,
2014-04,1315,
2014-05,1378,
2014-06,1347,
2014-07,2098,
2014-08,2797,
2014-09,1903,
2014-10,2101,
2014-11,1415,
