"",BBK01.OELB07O,BBK01.OELB07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:29,
2002-01,2.370,
2002-04,2.314,
2002-07,2.278,
2002-10,2.218,
2003-01,2.146,
2003-04,2.102,
2003-07,2.046,
2003-10,2.001,
2004-01,1.938,
2004-04,1.916,
2004-07,1.887,
2004-10,1.860,
2005-01,1.796,
2005-04,1.760,
2005-07,1.718,
2005-10,1.678,
2006-01,1.639,
2006-04,1.630,
2006-07,1.603,
2006-10,1.574,
2007-01,1.561,
2007-04,1.543,
2007-07,1.536,
2007-10,1.478,
2008-01,1.445,
2008-04,1.417,
2008-07,1.412,
2008-10,1.393,
2009-01,1.369,
2009-04,1.360,
2009-07,1.400,
2009-10,1.385,
2010-01,1.384,
2010-04,1.373,
2010-07,1.393,
2010-10,1.381,
2011-01,1.384,
2011-04,1.386,
2011-07,1.440,
2011-10,1.469,
2012-01,1.504,
2012-04,1.608,
2012-07,1.698,
2012-10,1.698,
2013-01,1.679,
2013-04,1.679,
2013-07,1.745,
2013-10,1.761,
2014-01,1.784,
2014-04,1.822,
2014-07,1.859,
