"",BBK01.OEXB07V,BBK01.OEXB07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:32,
2002-01,2.052,
2002-04,2.154,
2002-07,2.209,
2002-10,2.407,
2003-01,2.419,
2003-04,1.333,
2003-07,1.377,
2003-10,1.434,
2004-01,1.300,
2004-04,1.257,
2004-07,1.278,
2004-10,1.262,
2005-01,1.478,
2005-04,1.488,
2005-07,1.583,
2005-10,1.569,
2006-01,1.573,
2006-04,1.594,
2006-07,1.606,
2006-10,1.720,
2007-01,1.780,
2007-04,1.830,
2007-07,1.861,
2007-10,1.508,
2008-01,1.530,
2008-04,1.569,
2008-07,1.566,
2008-10,1.723,
2009-01,1.760,
2009-04,1.756,
2009-07,1.764,
2009-10,1.923,
2010-01,1.840,
2010-04,1.806,
2010-07,1.782,
2010-10,1.732,
2011-01,1.704,
2011-04,1.663,
2011-07,1.629,
2011-10,1.561,
2012-01,1.518,
2012-04,1.504,
2012-07,1.436,
2012-10,1.404,
2013-01,1.362,
2013-04,1.355,
2013-07,1.352,
2013-10,1.359,
2014-01,1.358,
2014-04,1.099,
2014-07,1.087,
