"",BBK01.OEAH27K,BBK01.OEAH27K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:39,
2002-01,0.930,
2002-04,0.890,
2002-07,0.905,
2002-10,0.860,
2003-01,0.747,
2003-04,0.727,
2003-07,0.694,
2003-10,0.738,
2004-01,0.750,
2004-04,0.731,
2004-07,0.719,
2004-10,0.665,
2005-01,0.650,
2005-04,0.639,
2005-07,0.635,
2005-10,0.663,
2006-01,0.665,
2006-04,0.693,
2006-07,0.680,
2006-10,0.689,
2007-01,0.800,
2007-04,0.850,
2007-07,0.934,
2007-10,1.053,
2008-01,1.091,
2008-04,1.161,
2008-07,1.170,
2008-10,1.622,
2009-01,1.634,
2009-04,1.706,
2009-07,1.729,
2009-10,1.459,
2010-01,1.235,
2010-04,1.257,
2010-07,1.205,
2010-10,1.325,
2011-01,1.450,
2011-04,1.459,
2011-07,1.470,
2011-10,1.432,
2012-01,1.347,
2012-04,1.308,
2012-07,1.212,
2012-10,1.053,
2013-01,0.917,
2013-04,0.753,
2013-07,0.716,
2013-10,0.710,
2014-01,0.739,
2014-04,0.743,
2014-07,0.870,
