"",BBK01.TVE318,BBK01.TVE318_FLAGS
"",Monetary capital formation at monetary financial institutions (MFIS) in the euro area / Total / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:41,
1997-10,6580,
1997-11,12614,
1997-12,29756,
1998-01,18271,
1998-02,24253,
1998-03,20419,
1998-04,-62,
1998-05,24633,
1998-06,25460,
1998-07,7637,
1998-08,10275,
1998-09,10437,
1998-10,-15192,
1998-11,5478,
1998-12,11314,
1999-01,42352,
1999-02,13104,
1999-03,21457,
1999-04,25122,
1999-05,4872,
1999-06,28176,
1999-07,11543,
1999-08,9191,
1999-09,23270,
1999-10,23794,
1999-11,14870,
1999-12,23804,
2000-01,17950,
2000-02,18810,
2000-03,12323,
2000-04,23573,
2000-05,16322,
2000-06,34680,
2000-07,18722,
2000-08,14117,
2000-09,20532,
2000-10,14087,
2000-11,-16969,
2000-12,-10765,
2001-01,22449,
2001-02,10645,
2001-03,25421,
2001-04,-2759,
2001-05,324,
2001-06,30744,
2001-07,-3609,
2001-08,4027,
2001-09,26667,
2001-10,18685,
2001-11,18608,
2001-12,28982,
2002-01,24439,
2002-02,9249,
2002-03,24636,
2002-04,-4805,
2002-05,28061,
2002-06,-2186,
2002-07,23142,
2002-08,14728,
2002-09,23329,
2002-10,10133,
2002-11,19712,
2002-12,26965,
2003-01,12530,
2003-02,15237,
2003-03,16115,
2003-04,5715,
2003-05,16786,
2003-06,17108,
2003-07,30993,
2003-08,13920,
2003-09,26641,
2003-10,27372,
2003-11,27720,
2003-12,17532,
2004-01,18122,
2004-02,14484,
2004-03,45712,
2004-04,31790,
2004-05,24503,
2004-06,22368,
2004-07,29283,
2004-08,17949,
2004-09,45054,
2004-10,24827,
2004-11,27911,
2004-12,40035,
2005-01,15311,
2005-02,43775,
2005-03,46532,
2005-04,18156,
2005-05,30396,
2005-06,80124,
2005-07,15262,
2005-08,16763,
2005-09,28248,
2005-10,40430,
2005-11,22439,
2005-12,39962,
2006-01,5401,
2006-02,58581,
2006-03,48144,
2006-04,22152,
2006-05,28787,
2006-06,51799,
2006-07,46481,
2006-08,6076,
2006-09,30521,
2006-10,52015,
2006-11,25501,
2006-12,51447,
2007-01,12837,
2007-02,52441,
2007-03,89772,
2007-04,20200,
2007-05,16946,
2007-06,87423,
2007-07,52323,
2007-08,1599,
2007-09,1260,
2007-10,56586,
2007-11,8607,
2007-12,92294,
2008-01,9800,
2008-02,-8528,
2008-03,36230,
2008-04,22385,
2008-05,25546,
2008-06,41703,
2008-07,34579,
2008-08,17637,
2008-09,6017,
2008-10,-28492,
2008-11,38676,
2008-12,55138,
2009-01,49411,
2009-02,43274,
2009-03,17974,
2009-04,10837,
2009-05,54458,
2009-06,78127,
2009-07,28777,
2009-08,36339,
2009-09,18759,
2009-10,6667,
2009-11,28283,
2009-12,34514,
2010-01,38840,
2010-02,721,
2010-03,28624,
2010-04,22161,
2010-05,4781,
2010-06,5732,
2010-07,30779,
2010-08,10559,
2010-09,14137,
2010-10,9397,
2010-11,58766,
2010-12,30774,
2011-01,16805,
2011-02,33309,
2011-03,23603,
2011-04,31451,
2011-05,25722,
2011-06,24495,
2011-07,33334,
2011-08,9249,
2011-09,9904,
2011-10,10716,
2011-11,-3178,
2011-12,-3668,
2012-01,5881,
2012-02,-10587,
2012-03,-35081,
2012-04,-5484,
2012-05,-41843,
2012-06,10701,
2012-07,-33306,
2012-08,3330,
2012-09,-311,
2012-10,-24931,
2012-11,-2525,
2012-12,16529,
2013-01,-6589,
2013-02,-4559,
2013-03,-5997,
2013-04,-24838,
2013-05,-5507,
2013-06,13697,
2013-07,-34964,
2013-08,-8828,
2013-09,-8568,
2013-10,8445,
2013-11,-2196,
2013-12,-11440,
2014-01,-1081,
2014-02,-11852,
2014-03,10438,
2014-04,-24912,
2014-05,-20966,
2014-06,-15423,
2014-07,-6820,
2014-08,179,
2014-09,-6046,
2014-10,-37047,
2014-11,-13323,
2014-12,-43026,
2015-01,-20884,
