"",BBK01.OEYB24L,BBK01.OEYB24L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:14,
2002-01,121.713,
2002-04,119.663,
2002-07,117.147,
2002-10,114.189,
2003-01,109.554,
2003-04,106.315,
2003-07,103.991,
2003-10,101.982,
2004-01,98.888,
2004-04,95.549,
2004-07,93.848,
2004-10,91.624,
2005-01,87.887,
2005-04,82.788,
2005-07,79.943,
2005-10,71.969,
2006-01,66.048,
2006-04,63.802,
2006-07,62.672,
2006-10,61.075,
2007-01,55.368,
2007-04,51.455,
2007-07,48.917,
2007-10,46.214,
2008-01,41.752,
2008-04,41.314,
2008-07,51.937,
2008-10,51.084,
2009-01,47.654,
2009-04,46.563,
2009-07,34.172,
2009-10,32.201,
2010-01,29.869,
2010-04,29.057,
2010-07,28.510,
2010-10,27.687,
2011-01,26.745,
2011-04,25.094,
2011-07,23.691,
2011-10,22.593,
2012-01,22.160,
2012-04,22.120,
2012-07,21.326,
2012-10,21.254,
2013-01,21.452,
2013-04,21.832,
2013-07,23.092,
2013-10,23.063,
2014-01,21.628,
2014-04,21.264,
2014-07,19.346,
