"",BBK01.OEBB24N,BBK01.OEBB24N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:46,
2002-01,16.487,
2002-04,16.756,
2002-07,16.340,
2002-10,14.620,
2003-01,14.166,
2003-04,13.802,
2003-07,13.598,
2003-10,12.494,
2004-01,12.142,
2004-04,11.896,
2004-07,10.250,
2004-10,2.497,
2005-01,5.044,
2005-04,5.263,
2005-07,5.039,
2005-10,4.751,
2006-01,4.544,
2006-04,4.337,
2006-07,4.230,
2006-10,4.072,
2007-01,4.006,
2007-04,3.979,
2007-07,3.480,
2007-10,3.878,
2008-01,4.022,
2008-04,4.315,
2008-07,4.501,
2008-10,4.623,
2009-01,4.612,
2009-04,5.336,
2009-07,5.500,
2009-10,4.793,
2010-01,4.857,
2010-04,4.823,
2010-07,4.635,
2010-10,5.470,
2011-01,5.092,
2011-04,4.947,
2011-07,4.751,
2011-10,4.664,
2012-01,4.514,
2012-04,4.474,
2012-07,4.518,
2012-10,4.545,
2013-01,4.393,
2013-04,4.183,
2013-07,4.085,
2013-10,4.008,
2014-01,4.167,
2014-04,3.741,
2014-07,3.688,
