"",BBK01.OEHI06V,BBK01.OEHI06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:01,
2002-01,3.137,
2002-04,3.255,
2002-07,3.266,
2002-10,3.259,
2003-01,3.229,
2003-04,3.183,
2003-07,3.126,
2003-10,3.127,
2004-01,3.183,
2004-04,3.143,
2004-07,3.067,
2004-10,2.920,
2005-01,2.797,
2005-04,2.665,
2005-07,2.535,
2005-10,2.502,
2006-01,2.474,
2006-04,2.405,
2006-07,2.397,
2006-10,2.348,
2007-01,2.305,
2007-04,2.351,
2007-07,2.442,
2007-10,2.527,
2008-01,2.547,
2008-04,2.654,
2008-07,2.777,
2008-10,2.893,
2009-01,2.589,
2009-04,2.385,
2009-07,2.175,
2009-10,2.157,
2010-01,2.130,
2010-04,2.090,
2010-07,2.067,
2010-10,2.050,
2011-01,2.078,
2011-04,2.176,
2011-07,2.125,
2011-10,2.079,
2012-01,2.024,
2012-04,2.001,
2012-07,1.948,
2012-10,1.852,
2013-01,1.800,
2013-04,1.791,
2013-07,1.765,
2013-10,1.688,
2014-01,1.652,
2014-04,1.542,
2014-07,1.492,
