"",BBK01.OEYJ01P,BBK01.OEYJ01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:30,
2002-01,1.778,
2002-04,1.797,
2002-07,1.847,
2002-10,1.939,
2003-01,2.138,
2003-04,2.187,
2003-07,2.189,
2003-10,2.179,
2004-01,2.234,
2004-04,2.305,
2004-07,2.409,
2004-10,2.566,
2005-01,2.760,
2005-04,2.750,
2005-07,2.880,
2005-10,2.847,
2006-01,3.135,
2006-04,3.045,
2006-07,3.049,
2006-10,3.074,
2007-01,3.171,
2007-04,3.383,
2007-07,3.481,
2007-10,3.360,
2008-01,3.355,
2008-04,3.482,
2008-07,3.377,
2008-10,3.465,
2009-01,3.417,
2009-04,3.628,
2009-07,3.802,
2009-10,3.616,
2010-01,3.730,
2010-04,3.756,
2010-07,3.641,
2010-10,3.596,
2011-01,4.076,
2011-04,4.377,
2011-07,4.650,
2011-10,4.666,
2012-01,4.152,
2012-04,4.257,
2012-07,4.253,
2012-10,4.334,
2013-01,4.177,
2013-04,3.921,
2013-07,3.855,
2013-10,3.477,
2014-01,3.927,
2014-04,3.745,
2014-07,3.567,
