"",BBK01.OEHB23L,BBK01.OEHB23L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:52,
2002-01,0.840,
2002-04,1.186,
2002-07,1.137,
2002-10,1.905,
2003-01,1.577,
2003-04,1.306,
2003-07,1.170,
2003-10,1.493,
2004-01,1.411,
2004-04,1.340,
2004-07,1.276,
2004-10,1.072,
2005-01,0.858,
2005-04,0.762,
2005-07,0.755,
2005-10,1.083,
2006-01,1.116,
2006-04,1.059,
2006-07,0.976,
2006-10,1.001,
2007-01,0.897,
2007-04,0.869,
2007-07,0.972,
2007-10,0.794,
2008-01,0.722,
2008-04,0.726,
2008-07,0.722,
2008-10,0.731,
2009-01,0.725,
2009-04,0.563,
2009-07,0.606,
2009-10,0.386,
2010-01,0.274,
2010-04,0.264,
2010-07,0.254,
2010-10,0.292,
2011-01,0.281,
2011-04,0.255,
2011-07,0.242,
2011-10,0.304,
2012-01,0.358,
2012-04,0.381,
2012-07,0.367,
2012-10,0.360,
2013-01,0.355,
2013-04,0.353,
2013-07,0.360,
2013-10,0.338,
2014-01,0.316,
2014-04,0.273,
2014-07,0.306,
